Sources;Years;Matrix level;Matrix column;Main Key-word;Additional Key-Word;Pages Vol 3;Name;Acronym;Code;Country (secretariat);Type 1;Type 2;commentaire;Manager/Secretariat/;Adresse;E-mail;Telephone;Url;Date;Aims;Activities;Members;Priorité;Mail;Date;;MAJ2019
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;MEDCITIES Network;MedCities;14044;ES;F;;Grandes villes principalement (pas uniquement en Europe);Joan Parpal;Barcelona, Spain;desurb@am.es;;www.medcities.org;1991;"Strengthen the notion of interdependence and joint responsibility concerning preservation of the environment and sustainable development in the Mediterranean basin ; strengthen the roles and means of municipalities in the working up of local policies of protection of the environment ; make decentralized cooperation programmes between its members on urban sustainable development";"Conducts environmental audits in 11 towns. Cooperation projects on City Development Strategies ; Local Agenda 21, Integrated Coastal Zone Management, urban solid waste, air quality, urban mobility, upgrading slums and waste water";Cities;Moyen;;;;
Vol.3;2014-2015;2;4;Amenities;Towns;70-71;Major Cities of Europe IT Users Group;MCE;13996;DE;F;;MCE. Initiative du Greater London. Grandes villes et capitales principalement;Anja Mudeking;Bremerhaven, Germany;info@majorcities.eu;;www.majorcities.eu;1982;"Promote voluntary exchange of ideas, visions and experience among members so as to improve performance of local government by using information and communication technology ; represent collective interests of members in discussion with public authorities, suplliers of information technology and other relevant organizations at European level";Conferences, workshops;Representatives of cities;Moyen;;;;
Vol.3;2014-2015;3;7;Government;Municipalities;414-415;Network of European Metropolitan Regions and Areas;METREX;14360;UK;F;;METREX. Groupe d'experts;Roger Read;Glasgow, UK;enquiries@eurometrex.org;;www.eurometrex.org;1996;"Promote the exchange of knowledge beetween practitioners on strategic issues of common interest ; contribute to the metropolitan dimension to planning at the European level";"Expert groups :  Planning for Major Events ; Major Urban Restructuring ; Urban Requalification ; Strategic Planning for Retailing ; Agriculture in Metropolitan Areas ; Metropolitan Governance";Not specified;Moyen;;;;
Vol.3;2014-2015;3;7;Government;Municipalities;414-415;Union of the Capitals of the European Union;UCUE;17035;BE;D;;UCUE. Site internet non actif. Que des capitales étatiques;Luc Symoens;Brussels, Belgium;;;www.ucue.org;1961;"Maintain permanent ties between the municipalities of member cities ; encourage exchanges between the citizens of member cities in every fields in order to develop a keen sense of European fraternity based on mutual understanding";;Capital Cities;Moyen;;;;
Vol.3;2014-2015;3;7;Government;Municipalities;414-415;Union of Central and South-Eastern European Capitals;UCSEEC;17038;GR;E;;UCSEEC;Kalliopi A Bourdara;Athens, Greece;mayor@cityofathens.gr;;www.cseecunion.org;1995;"Maintain permanent ties between the municipalities of member cities ; encourage exchanges between the citizens of member cities in every fields in order to develop a keen sense of European fraternity based on mutual understanding";;Capital Cities;Moyen;;;;
Vol.3;2014-2015;3;7;Government;Municipalities;414-415;World Association of the Major Metropolises;Metropolis;17692;ES;C;;Metropolis.Lié à l'UCGL;Agnès Bickart;Barcelona, Spain;metropolis@metropolis.org / abickart@metropolis.org;;www.metropolis.org;1985;"Promote international cooperation and exchanges among local and metropolitan governments ; better control the development process of metropolitan areas in order to enhance the well-beig of their citizens ; increase among members and collaborators the exchange of knowledge, experiences and policies applied to shore up institutional capabilities ; strengthen the worldwide influence of metropolitan governments in collaboration with other local government associations, international organizations and civil society";;Representatives of cities and metropolitan areas of more than 1 million inh;Moyen;;;;
Web;2018;;;;;;Cities for a Nuclear Free Europe;CNFE;W2;AT;;;CNFE. Informal Network;;Vienna;CNFE@goja.or.at;;http://www.cnfe.eu/;2011;an informal network of cities and city leaders who wish to reduce or avoid the risks, dangers and costs of nuclear power in Europe.;;Cities;Forte;;;;
Web;2018;;;;;;European New Towns and Pilot Cities Platform;ENTP;W3;BE;;;ENTP. Ending in 2016;;Brussels;kajetan.trzcinski@pilotcities.eu;;http://www.pilotcities.eu/;2001;"to work as a platform to exchange information, share good practices and implement common projects ; to work as an advocacy body to represent the New Towns, promote them and strengthen their role on a regional and transnational level";"promote exchange of information and experience trough workshops and conferences ; encourage development of common concrete projects on urban regeneration, social cohesion and sustainable development ; participate in the dialogue with the European Institutions";Cities;;;;;
Web;2018;;;;;;Baltic Metropoles;BaltMet;W5;DE;;;BaltMet;;Berlin;michael.weiner@senatskanzlei.berlin.de ;;http://www.baltmet.org/;2002;"Baltic Metropoles Network (BaltMet) represents a forum for capitals and large metropolitan cities around the Baltic Sea. It brings together the cities of Berlin, Helsinki, Malmö, Oslo, Riga, Stockholm, St.Petersburg, Tallinn, Vilnius and Warsaw. The main goal of the network is to promote innovativeness and competitiveness in the Baltic Sea Region by engaging cities, as well as academic and business partners, into close cooperation. Another focus area is identity building and marketing of the Baltic Sea Region. Metropolises play a central role in Europe’s efforts to become the most competitive, knowledge-based economy in the world.
The Copenhagen resolution accepted during the BaltMet founding conference in 2002 highlighted that direct metropolis-to-metropolis contacts are vital for the Europe of the future. Baltic Metropolises aim at further co-ordination of viewpoints and initiatives between the metropolises and at communicating joint views to political decision-makers. Baltic Metropolises are also interested in providing substantial contribution into the Northern Dimension actions. In October 2006 in Helsinki BaltMet Mayors presented a priority list on the most important investment projects in environment and infrastructure in the Baltic Sea Region. In parallel, due to regular contacts among the participating cities, the network has promoted a great deal of learning and experience exchange in different areas and levels of city administrations.
The current directions of joint work are summarised in the BaltMet Action Plan 2011 – 2012, accepted at the Mayor’s meeting in Tallinn in February 2011. Previous work plan is outlined in the BaltMet Action Plan 2008 – 2010, accepted at the Mayors’ meeting in Tallinn on 6 November 2007.
The work of BaltMet is based on regular Mayors’ Meetings – the main decision making body, supported by the regular Officials’ Meetings. Mayors meet annually to decide on the new areas of cooperation among the partner cities. The Network is coordinated and administratively run by the Chair City in cooperation with two Vice Chair Cities, elected by the Mayors for two years.
For 2006-2008 the city of Riga was the Chair of Baltic Metropoles, hosting the Secretariat of the Network. More on the Riga Chairmanship see here. On 20 October 2008, the Chairmanship of the Network was officially handed over to the city of Stockholm. Here you can read more about what happened during the Stockholm Chairmanship. After 2 years time, on 4 February 2011 Stockholm passed the Chairmanship to Warsaw. The current Vice Chair Cities are Stockholm and Helsinki.
 ";;Cities;Forte;;;;
Web;2019;;;;;;Nordic City Network;NCN;W6;SE;;;;;Malmo;;;http://www.nordiccitynetwork.com/in-english/;;"As our cities move from industrial to knowledge cities so must we change the way we plan our cities. Separating functions and sectorizing responsibilities and administrations is outdated – we now need to set out minds and efforts to structure, shape, organize and govern our cities as knowledge cities.

Nordic City Network is a network of cities dedicated to this challenge. It works as a platform, where theories are developed and ideas and experiences are exchanged. ";;Cities;;;;;
