Main.Key.Word;Additionnal.key.words;Name;Code_Network;Description;LeadPartnerCountry;Url;Start;End;Aims;Activities;Members;Continent;Region;NbCities;CodeCity;LeadPartner;Phase;Type
Economy;Governance / Entrepreneurship & SMEs / Social Economy / Jobs and skills / Local Economy;Procure;54;Creating a good local economy through procurement;UK;http://urbact.eu/procure;2015;2018;The aim of Procure is to explore how to harness the spending power through procurement of public / anchor institutions in the partner cities to bring about economic, social and environmental benefits for businesses and people which in turn will have a positive impact on the city and its local economy.;"Over the two years, the partners will meet together (both at a European level and at a local level through local stakeholder groups) to discuss and explore a number of topics which they can then put into practice in their partner cities through the development of local partner Integrated Action Plans.
The topics to be explored include:
1)      The regulations and law at both European and national level, and what cities are able to do around innovative procurement
2)      How to analyse procurement spend and develop a procurement strategy
3)      Developing and utilising social criteria and environmental criteria in procurement
4)      How to raise awareness of, and engagement in, procurement amongst local businesses and Small and Medium Sized Enterprises (SMEs)";Cities;Europe;Northern Europe;11;UK21;Preston;Urbact III;Action Planning
Governance;Local Economy / Social Economy;Re-growCity;118;Tackling Long Term Decline in Smaller Cities;DE;https://urbact.eu/re-growcity;2019;NA;Re-growCity focuses on the development of interventions that built on local capabilities to arrest and reverse long term social, economic and environmental decline. Altena has a track record of recognised good practices that facilitate the development of sustainable initiatives with a minimum of external resource input. This network will support partners to revitalise public services and the economy, regenerate the urban fabric and develop civil society in a context of long term decline.;;Cities;Europe;Western Europe;8;DE2;Altena;Urbact III;Transfer
Governance;Abandoned Spaces / Local Economy / Priority Neighbourhoods / Social Economy;REFILL;57;Reuse of vacant spaces as driving Force for Innovation on Local level;BE;http://urbact.eu/Refill;2015;2018;"In many European cities one of the positive side effects of the financial-economic crisis is the growth of innovative forms of solidarity and commitment at local level. Pioneering and bottom-up civic initiatives instigate transition in our society and co-create solutions for social challenges in an urban context, often perceived as a laboratory. Governments are no longer the only actor to solve complex challenges faced in cities.
Therefore, temporary use is a powerful tool to make our cities \\""future fit\\"". Since the concept of temporary use is interacting with many other urban dynamics it creates the right environment for social innovation to develop. The network outlines the concept of temporary use as: the use of vacant buildings and land by urban pioneers, entrepreneurs and bottom-up initiatives, often resulting in facing various societal challenges and in creating possibilities for social innovation to develop in cities.";"The cities involved in this network already experimented with the concept of temporary use of vacant places for several years. Through REFILL all partners aim to capitalise on this communal expertise by focusing on 3 main objectives:
- Exchange and evaluation of local supporting instruments
- Ensuring long lasting effects of temporality
- Build a more flexible, collaborative public administration
All partners in this partnership  Ghent, Riga, Bremen, Athens, Poznan and Amersfoort - experimented for quite some years with temporary use and each partner developed local instruments to support the concept in their city. They are now eager to systematize these practices in all possible areas it may take place and to use the power of temporary use to build open, flexible and collaborative governance models.";Cities;Europe;Western Europe;10;BE5;Ghent;Urbact III;Action Planning
Integrated Urban Development;Governance / City Planning / Participation/ Social Innovation/ Urban Renewal/ Youth;ReGeneration;87;Limiting land consumption, intergenerational participation and innovative financing ;IT;http://urbact.eu/regeneration;2016;NA;Re-Generation implements integrated strategies to revive cities with an inter-generational approach.  The network aims at limiting land consumption and promoting the best use of natural and cultural resources focusing on youth as an essential key to enh;;Cities;Europe;Southern Europe;7;IT4;Bologne;Urbact III;Implementation
Environment;Physical Urban Development / Inclusion / Carbon Neutrality / Climate Adaptation / Local Economy / Social Economy;RESILIENT EUROPE;60;Urban resilience a concept for co-creating cities of the future;NL;http://urbact.eu/resilient-europe;2015;2018;The cities in the URBACT Resilient Europe network will work together to learn and share experiences with the aim to foster resilience and sustainability. Becoming more resilient means that a city strives to enhance its ability to bounce back and grow even stronger and better in the face of the chronic stresses and acute shocks. As such, city resilience is a continuous challenge for individuals, communities, institutions, businesses and infrastructure systems to address current trends and future transitions. We will look at the challenges of achieving resilience in and of our cities in a comprehensive and holistic way. ;The approach of Resilient Europe is to apply the lessons from the innovative governance approach of Transition Management. Transition Management is a process-oriented and participatory steering approach that enables social learning through iterations between collective vision development and experimenting. Transition Management will be applied to structure the dialogues and co-creation process in every city and across the cities for specifying what city resilience means for each city, to enable a translation and identification of resilience aspirations of stakeholders in a participatory vision development way and to formulate a Integrated Action Plan to pave the ground for achieving city resilience.;Cities;Europe;Western Europe;11;NL12;Rotterdam;Urbact III;Action Planning
Economy;City Branding / Jobs and skills / Local Economy / Mobility;RetaiLink;61;Ten european cities inspire each other to create innovative strategies that revitalize the retail sector in medium-sized cities.;ES;http://urbact.eu/retailink;2015;NA;"Ten european cities inspire each other to create innovative strategies that revitalize the retail sector in medium-sized cities.
The cities participating in the RetaiLink network will develop Integrated Action Plans to enhance the competitiveness of small and/or independent retail businesses, considering them a key economic driver.
The project’s scope of work includes areas such as regulation, employment, urban planning, managing public spaces, mobility, cultural and creative industries and citizens participation. Our multi-stakeholder approach brings together public sector, private sector, retailers and major commercial operators, consumers or cultural and creative industries.";;Cities;Europe;Southern Europe;10;ES21;Igualada;Urbact III;Action Planning
Integrated Urban Development;Carbon Neutrality / Mobility / Urban Planning;RiConnect;119;Rethinking mobility infrastructure to reconnect cities;ES;https://urbact.eu/riconnect;2019;NA;The purpose of RiConnect is to rethink, transform and integrate mobility infrastructure aiming at reconnecting people, neighbourhoods, cities and natural spaces. The APN will develop planning strategies, processes, instruments and partnerships, fostering public transport and active mobility, reducing externalities and unlocking opportunities of urban regeneration with the objectives of structuring the territory, and achieving a more sustainable, equitable and attractive metropolis.;;Cities;Europe;Southern Europe;8;ES8;Barcelona;Urbact III;Action Planning
Inclusion;Housing / Urban Planning;ROOF;114;To end homelessness through innovative housing solutions at city level ;BE;https://urbact.eu/roof;2019;NA;The ROOF project aims to eradicate homelessness through innovative housing solutions at city level. ROOF will exchange knowledge on how to (1) gather accurate data and (2) make the conceptual shift from the symptomatic management to the actual ending of homelessness, with Housing First and Housing Led as guidance model. ROOF will guide the partner cities towards integrated local action plans linked to the long term strategic goal of Functional Zero (no structural homelessness).;;Cities;Europe;Western Europe;9;BE5;Ghent;Urbact III;Action Planning
Governance;Circular Economy / Food ;RU:RBAN;115;Resilient Urban Agriculture;IT;https://urbact.eu/rurban;2018;NA;"The Good Practice (GP) is the ""Management model of Urban gardens in Rome"" to be transferred to EU cities geographically distant from each other to ensure sharing of experiences to enhance the capacities of local governance. Transfer efforts will be given to 3 distinct, interlinked, thematic components/elements that the GP is divided into:Capacity building in organizing urban gardens, Inspiring and training people to manage urban gardens (Gardenisers) and urban gardens governance & regulations.";;Cities;Europe;Southern Europe;7;IT36;Rome;Urbact III;Transfer
Inclusion;Migrants;RUMOURLESS CITIES;116;Prevent discrimination, strengthen cohesion;PT;https://urbact.eu/rumourless-cities;2018;NA;The network is focused on the transfer of a good practice established by the municipality of Amadora which addresses a need across all partners, namely how to counter growing negative attitudes towards a cross section of groups in society, which includes ;;Cities;Europe;Southern Europe;7;PT2;Amadora;Urbact III;Transfer
Environment;Carbon Neutrality / Circular Economy / Climate Adaptation / Food / Local Economy / Urban-rural;FOOD CORRIDORS;117;Empowering Territorial Food Corridors within the European Union;PT;https://urbact.eu/food-corridors;2019;NA;Recent experience suggests that it is necessary to promote a transition towards regional food systems. RURBAN FOOD encourages the creation of a network of cities committed to the design of food plans that extend from the urban and peri-urban areas through a corridor that facilitates an urban-rural connection. This approach enhances the generation of production and consumption environments founded on a base of economic, social and environmental sustainability.;;Cities;Europe;Southern Europe;8;PT8;Coimbra;Urbact III;Action Planning
Economy;Social Economy / Education;SIBdev;120;Social impact bond development for improved public service delivery;NL;https://urbact.eu/partner-search-tool/sibdev;2019;NA;The goal of this Action Planning Network is to explore how social impact bonds can be used to improve public service delivery in areas such as employment, ageing, and immigration. Often, the delivery of services is hindered by fragmented and siloed agenci;;Cities;Europe;Western Europe;10;NL8;Heerlen;Urbact III;Action Planning
Governance;Physical Urban Development / Carbon Neutrality / Financial Engineering / Research & Innovation;SMARTImpact;65;Local Impacts from Smart City Planning;UK;http://urbact.eu/smartimpact;2015;2018;"Cities are growing at a breath-taking pace worldwide. More than half of the world’s population now lives in cities, and this figure is set to rise. This presents huge challenges for city leaders and managers needing to greatly expand municipal infrastructures including energy (heat and power), waste and water management as well as transportation.  The European Commission’s Smart Cites and Communities Strategic Implementation Plan (2013) includes a requirement for cities to develop innovative approaches to finance as a key enabler. Levels of investment mean that cities cannot rely upon public sector funding alone and need to develop new market-oriented and sustainable strategies for public-private cooperation generating external investment. The ability to access this is linked to the ability to overcome or mitigate risks associated with deployment of the technologies. By identifying these, the public sector can begin to unblock some of the barriers that limit private sector finance.
The key risks associated with the deployment of smart city technologies and solutions at a district level can be summarised as:
- Technology : the new technology does not perform as expected in real life deployment.
- Construction : unexpected complications or delays affecting the return on investment.
- Operational : suboptimal operation of the infrastructure or technology.
- Market : the market demands for the new infrastructure or technology are lower than expected.
- Policy : the regulatory framework changes leading to a fall in profit margins.
- Capability : the public authority labour force is not equipped with the skills to develop commercially based solutions for deployment in the market.
The SmartImpact network aims to develop an approach that builds on the work being undertaken by a number of cities identifying mechanisms and approaches which derisk smart city delivery.";;Cities;Europe;Northern Europe;10;UK18;Manchester;Urbact III;Action Planning
Integrated Urban Development;Local Economy / Mobility;Space4People;121;Co-creative planning processes to assess, evaluate and improve public space use for transport to create more attractive, accessible, inclusive and liveable public spaces for people;DE;https://urbact.eu/space4people;2019;NA;Space4People improves quantity and quality of attractive public spaces in urban areas. For this, it tackles the main public space use being transportation in 3 aspects: improving user experience and adding space to pedestrian networks and (semi-)pedestrianised places, upscaling intermodal hubs to urban centres of mixed use as well as reducing and optimising parking in public space. Space4People takes a user-centric approach by users assessing and creating future use and design of public space.;;Cities;Europe;Western Europe;10;DE4;Bielefeld;Urbact III;Action Planning
Inclusion;Governance / Education / Jobs and skills / Migrants / Poverty;Stay Tuned;88;Boosting the Frequency of Qualification;BE;http://urbact.eu/stay-tuned;2016;NA;"European cities face higher levels of Early School Leaving (ESL) than their national averages and their corresponding European target rates. This represents a serious challenge, as ESL has significant societal and individual consequences, such as a higher risk of unemployment, poverty, marginalization and social exclusion. Tackling ESL means breaking the cycle of deprivation and the intergenerational transmission of poverty and inequality.
ESL is a specific problem, but engages a very complex field of play to solve it. It calls for a shift from implementing isolated ESL measures to introducing integrated, comprehensive policies, based on strong and continuous political commitment of all stakeholders at all levels.
The role of local authorities in developing and implementing ESL policies is crucial: they can translate European and national strategies into specific actions tailored to the local needs and coordinate cross sectoral implementation at the right level.
Stay TunED aims to reduce the high urban rates of Early School Leaving (ESL) by actively pursuing the implementation of the 2011 Council Recommendation on policies to reduce ESL. The network will capitalise on existing urban expertise and strive for improved implementation with sustainable impact. This requires changes in organisations and the mind-set of people: a systematic configuration of services, eroded boundaries between services and professions, development of synergies, clear definition of roles and responsibilities.";"The network will realise this by focusing on the common challenges faced by implementing each local action plan against ESL:
Ensuring the integrated approach in the delivery of the strategy and its related actions/projects,
Maintaining involvement of local stakeholders and organising decision-making for delivery,
 Setting up efficient indicators and monitoring systems to measure performance,
 Moving from strategy to operational action plan.";Cities;Europe;Western Europe;9;BE5;Ghent;Urbact III;Implementation
Integrated Urban Development;Physical Urban Development / Environment / Urban Renewal;sub>urban;66;sub>urban. Reinventing the fringe;BE;http://urbact.eu/sub.urban;2015;2018;Cities in the network of sub>urban. Reinventing the fringe are searching for a solution to the following challenge: how can we make existing 20th century urban tissue attractive and qualitative again? How can we add a different urban layer? For the past two decades, urban development and planning practice in European cities and regions have focussed on the renewal of metropolitan cores and historic inner cities. This has resulted in numerous success stories, but the wave of urban renewal in inner cities has generally coincided with strong population growth and demographic changes. Many inner cities have reached their peak in terms of density, population and mobility. At the same time most of the housing in 20th century (sub)urban areas are in need of renovation. The next logical step is a combined solution to these issues by reconverting the 20th century neighbourhoods, to create a more sustainable and attractive environment.;"Sub>urban network focuses on solving the challenge in a very particular context of:
- increasing population densities within city borders instead expanding urban territory
- uncovering new planning practices, processes, instruments and partnerships to achieve the best possible local outcome
- regional coordination between historic inner cities, suburbs and greater metropolitan areas
- parallel development of an experimental setting as well as an action plan for tangible areas
The network partners vary greatly in size and context. Though they are all united through the pressure on urban tissue due to rapid growth today or uncontrolled growth in the past that resulted in high densities or mono-functional areas. The City of Antwerp is Lead Partner. The partners of the network are the Barcelona Metropolitan Area, Casoria, Dusseldorf, Solin, Brno, Oslo, Baia Mare and Vienna.";Cities;Europe;Western Europe;9;BE2;Antwerp;Urbact III;Action Planning
Economy;Digital Transition / Entrepreneurship & SMEs / Local Economy;Tech Revolution;122;Working together to maximise the job creation potential of digital;UK;https://urbact.eu/tech-revolution;2018;NA;Tech Revolution transfers the good practice of Enterprising Barnsley, based on their experiences of the Digital Media Centre, business support programmes and associated spin off activities. By facilitating growth in knowledge based jobs and businesses across all sectors and industries we aim to connect EU partners to share ideas and practices and benchmark them against other EU cities to inform the development of an 'ecosystem' needed to encourage digital growth, and transformational economies.;;Cities;Europe;Northern Europe;7;UK2;Barnsley;Urbact III;Transfer
Economy;Education / Entrepreneurship & SMEs / Jobs and skills / Local Economy;TechTown;70;A digital City Future - Adapt or Die;UK;http://urbact.eu/techtown;2015;2018;"The digital economy is the 'single most important driver of innovation, competitiveness and growth' (EC,2015).
TechTown will explore how small and medium sized cities can maximise the job creation potential of the digital economy. It will examine whether there is potential for spillover from stronger city level digital economies, examine how clusters can work at city level and look collaboratively at what cities can do to support businesses to access the digital skills and innovations they need in order to start, grow and compete.
As part of the project , TechTown partners want to explore further the role and viability of digital, content creation and technology clusters and how benefit may be gained from major city or national initiatives to benefit job creation and growth in small and medium sized cities. The project will be 'of the digital economy' as well as 'for the digital economy' in that it will use digital technologies as much as possible throughout management and delivery.
TechTown will look collaboratively at new ideas and actions to help support all businesses to access the digital skills and embed the digital innovations they need in order to start, grow and compete. This will be an active network embracing the opportunities digital technology affords to collaborate and co-create and it will work closely with digital communities in each city through activities such as hack days and meetups. Local tech-communities don’t typically look for support from cities: they are largely self-organising, thriving on informal networks. TechTown will look at what role cities can realistically and effectively play within this context and drive forward the conversation. What margins of manoeuvre do they have to maximise local potential from the digital economy? What ecosystems can they contribute to in order to foster organic growth? What approaches can cities take to engage and collaborate with their digital communities?";;Cities;Europe;Northern Europe;11;UK2;Barnsley;Urbact III;Action Planning
Governance;Social Economy / Urban Planning;The Playful Paradigm;123;Play and the City: an innovative paradigm for social inclusion, sustainability and place-making;IT;https://urbact.eu/playful-paradigm-0;2018;NA;Cities offer unique opportunities for addressing the challenges of urbanization, ageing, climate change, social exclusion, only if enabling, enjoyable places are co-created. The project aims to transfer the “playful paradigm” based on gamification as an innovative concept for promoting social inclusion, healthy lifestyles & energy awareness, intergenerational & cultural mediation, place-making & economic prosperity. Games offer new strategies for engaging city stakeholders in urban development.;;Cities;Europe;Southern Europe;8;IT42;Udine;Urbact III;Transfer
Integrated Urban Development;Carbon Neutrality / Health / Local Economy / Mobility;Thriving Streets;124;European Network fostering the economic and social benefits of mobility;IT;https://urbact.eu/thriving-streets;2019;NA;THRIVING STREETS is a network that addresses the bottlenecks in sustainable urban mobility.The project will focus on the economic and social benefits of sustainable mobility, rather than on the widely demonstrated environmental effects. THRIVING STREETS argues that working with local amenities and social networks at neighbourhood level could unlock the hidden demand for active mobility in cities, and thus act as enabler of behaviour change towards more resilient and liveable neighbourhoods.;;Cities;Europe;Southern Europe;10;IT26;Parma;Urbact III;Action Planning
Economy;Culture & Heritage / Local Economy / Urban Planning;Tourism-friendly cities;125;Local community & tourists together for urban sustainability;IT;https://urbact.eu/tourism-friendly-cities;2019;NA;"TOURISM-FRIENDLY CITIES aims to explore how tourism can be sustainable in medium-sized cities, reducing the negative impact on neighbourhoods and areas interested by different types of tourism; to reach this ambitious aim, the project will create integrated and inclusive strategies which can keep a balance between the needs of the local community, in terms of quality of life and of services available, and the promotion of sustainable urban development at environmental, social and economic level.";;Cities;Europe;Southern Europe;10;IT19;Genoa;Urbact III;Action Planning
Environment;Circular Economy / Digital Transition;Tropa Verde;126;To encourage environmentally responsible behaviour that empowers citizens to reuse and recycle ;ES;https://urbact.eu/tropa-verde;2018;NA;"Tropa Verde is a platform to encourage environmentally responsible behaviour, that empowers citizens to reuse and recycle. Combining web platform and low cost campaigns, it is considered as a ""civic movement fully committed to sustainability and circular economy"". Citizens get vouchers and exchange them for rewards from the City Council and local retailers. It connects places where disposing waste (green points, civic and social centres, etc.) with local businesses providing gifts or discounts.";;Cities;Europe;Southern Europe;6;ES35;Santiago De Compostela ;Urbact III;Transfer
Environment;Carbon Neutrality / Energy Efficiency / Research & Innovation;Urb-En Pact;129;Urban Energy Pact, Together towards zero net energy cities;FR;https://urbact.eu/urb-en-pact;2019;NA;Local authorities embrace the ambitious goal to become a zero-net energy territory within the next 30 years. Thus, Urb-En Pact project’s aim is to define the local action plans to become zero-net (ZNE) territory by producing and delivering local, renewable and regulated sources of energy by the implementation of an energy loop which gathers all the stakeholders of this circular economy, especially the consumers included in this fair trade business in and around the metropolitan area.;;Cities;Europe;Western Europe;8;FR8;Clermont Ferrand;Urbact III;Action Planning
Environment;Governance / Carbon Neutrality / Energy Efficiency / Food / Mobility;Urban Green Labs;76;Promoting citizens engagement in upgrading urban green spaces;HU;http://urbact.eu/urban-green-labs;2015;2016;The project aims to set up models on how empowered civil eco-conscious groups and top down interventions can mutually reinforce each other to make cities more resilient and healthy, while also reducing the cities carbon footprint by empowering local groups as well as the city administration and by matching grass-root ecological initiatives with large scale resource efficiency interventions. In other words the project aims to achieve a paradigm shift towards sustainability in the society of the partner cities by fostering dialog between local governmental level and civil society.;;Cities;Europe;Eastern Europe;9;HU1;Budapest;Urbact III;Action Planning
Integrated Urban Development;Priority Neighbourhoods / Social Economy / Urban Renewal ;URBAN-REGENERATION-MIX;127;Improving the social dimension in process of urban regeneration;PL;https://urbact.eu/urban-regeneration-mix;2018;NA;The Good Practice to be transferred in this Transfer Network is a model of collaborative city, increasing the participation of cities residents, fostering their equal involvement and strengthening the relations between the main stakeholders of the urban regeneration processes. The focus of the network will be to research, identify, apply the key success factors, which bring life back to historical areas but also bring the citizens back to regenerated areas.;;Cities;Europe;Eastern Europe;7;PL15;Lódz;Urbact III;Transfer
Inclusion;Physical Urban Development / Poverty / Priority Neighbourhoods / Social Economy / Urban Renewal;URBinclusion;89;Combating poverty in deprived urban areas;ES;http://urbact.eu/urbinclusion;2016;NA;URBinclusion is focused on the co-creation of new implementation solutions to reduce urban poverty. Integrated strategies addressing social inclusion will be implemented by the nine partner cities composing the Network. Due to the multifaceted nature of the problem, there is a need to put the spotlight on “interconnectedness” of policy measures and re-design decision making processes: to this purpose, the project will boost innovative methods of knowledge exchange and collaborative learning.;;;Europe;Southern Europe;9;ES8;Barcelona;Urbact III;Implementation
Environment;Circular Economy / Waste;UrbReC;130;Urban Resource Centers;NL;;2019;NA;The specific challenge we wish to address in this Action Planning Network is how cities can develop next generation urban resource centers that fit with the priority of the waste hierarchy, promote the circular economy and invite citizens, new businesses and start-ups to co-create new ways of closing the resource loops at local level in an economically sustainable way.;Resourceful Cities;Cities;Europe;Western Europe;9;NL13;The Hague;Urbact III;Action Planning
Integrated Urban Development;Physical Urban Development;UrbSecurity;131;From planning to urban security;PT;https://urbact.eu/urbsecurity;2019;NA;Security and safety are two common goods cities and fundamental components of European democracy. Cities must adopt holistic approaches to challenges faced and lead the adaptation and ensure security management is representative and in accordance to the city’s diversity. UrbSecurity network wishes to co-create an integrated approach towards urban security focusing on improving citizens’ quality of life and the city’s smart, sustainable and inclusive growth towards a good living environment.;;Cities;Europe;Southern Europe;9;;Leiria;Urbact III;Action Planning
Economy;Carbon Neutrality / Circular Economy / Jobs and skills / Urban Renewal / Waste;URGE;128;Circular Building Cities;NL;https://urbact.eu/urge;2019;NA;URGE (circUlaR buildinG citiEs) aims to design integrated urban policies on circularity in the building sector – a major consumer of raw materials – as there is a gap in knowledge on this topic. The result is an in-depth understanding of this theme and a first plan for a tailor-made methodology that allows the circular dimension to be widely integrated in the large construction tasks the URGE partnership is facing. URGE thus accelerates the transition towards a circular economy.;;Cities;Europe;Western Europe;9;NL14;Utrecht;Urbact III;Action Planning
Inclusion;Physical Urban Development / Health / Poverty / Priority Neighbourhoods / Social Economy;VITAL CITIES;80;Urban sports promotion for social inclusion, healthy and active living;PT;http://urbact.eu/vital-cities;2015;2018;"The project seeks answers on how to combat social exclusion through the redesign of public spaces in deprived residential areas by using the power and common language of sport through innovative urban sport actions, physical equipment and better orchestrated service delivery.
Active living positively contributes to social cohesion, wellbeing and economic prosperity in cities. However, currently cities are challenged by the opposite: dramatic increase in the frequency of diseases as a result of sedentary life style and social exclusion.
To tackle these challenges, European cities have invested in large scale sports facilities over the past decades. These strategies have a limited success, hence a new approach is needed: instead of""bringing' the inactive citizens to the sports facilities, public space itself should be turned into a low threshold facility inviting all citizens to physical activity. Street layout, land use, location of recreation facilities, parks and public buildings, the transport system can all encourage or discourage physical activity. Opportunities for physical activity need to be created close to where people live while also creating cleaner, safer, greener and more activity-friendly local environments.
In order to reach this, cities need to be equipped with new innovative tools to be used in urban design and planning (to redesign public spaces linked to sport activities, urban sports, games, physical exercises) to adequately provide for recreation and sport services and exploit potential social, health and economic benefits.
Efforts to enable and encourage sports require the participation and cooperation of many stakeholders, including local residents themselves and the creation of synergies among municipal departments or institutions. Moreover, municipalities need to be equipped with a new set of tools to be used in urban design and planning to adequately provide for recreation and sport services and exploit the potential social, health and economic benefits.";;Cities;Europe;Southern Europe;10;PT14;Loulé;Urbact III;Action Planning
Inclusion;Youth;Volunteering Cities;132;Promoting Social Inclusion and Inter-generational Cohesion in Cities, through Volunteerism;CY;https://urbact.eu/volunteering-cities;2018;NA;The transfer network makes use of Volunteerism to approach social exclusion and poverty at the community level. Focus is given to an inter-generational collaboration where different age groups of both volunteers and individuals facing social problems work towards a sustainable evolution of the quality of life within local society. The network aims at structuring the volunteering activity giving validity to a bottom up approach, where volunteers can decide and implement actions.;;Cities;Europe;Southern Europe;8;CY1;Athienou;Urbact III;Transfer
Economy;City Branding ;Welcoming International Talent;133;Cities looking for global talents;NL;https://urbact.eu/welcoming-international-talent;2018;NA;Higher education and knowledge economy has become a global competition for talent. Whereas the main European cities attract both students and skilled-workers by their scale and fame, medium-sized cities, like Groningen, will need a policy to attract talent, and to keep them economically active. In this project the best practice of Groningen, a welcoming policy for International Students and skilled workers, will be transferred.This project was known as Movement in phase 1.;;Cities;Europe;Western Europe;7;;Groningen;Urbact III;Transfer
Environment;Carbon Neutrality / Circular Economy / Climate Adaptation;ZCC;134;Zero Carbon Cities;UK;https://urbact.eu/zero-carbon-cities;2019;NA;The network will support partner cities to establish science based carbon reduction targets and zero carbon Sustainable Energy Action Plans (SEAPs), including governance and capacity building to enable them to contribute to the successful implementation of the Paris Agreement and the EU’s strategic vision for carbon neutrality by 2050. The project will establish a network of seven cities within the wider network of 8,800 EU members of the Covenant of Mayors (CoM), with a view to influencing CoM.;;Cities;Europe;Northern Europe;7;UK18;Manchester;Urbact III;Action Planning
Economy;Governance / Health;4D Cities;2;Promoting innovation and the knowledge economy in health field for the local social and economic development.;ES;;2013;2015;aims at stimulating the key factors for developing successful integrated policies on Health Innovation so they become driving forces for local development, both at economic and social levels. Partner cities would like to give a boost to innovation and knowledge economy in health sector as a new productive sector which contributes to the diversification and enhancement of the economic activities and social cohesion of their territories.;;Cities;Europe;Southern Europe;8;ES21;Igualada;Urbact II;Action Planning
Governance;Economy / Ageing / Health / Jobs and skills;Active A.G.E;3;Develop an exchange of experience between 9 cities facing an ageing population - in order to develop greater professional capacity and thus identify and develop good practices - and help them to put in place an integrated approach to dealing with this issues.;IT;https://urbact.eu/active-age;2008;2011;"Even if the impact of demographic ageing differs from city to city and from region to region, it will influence nearly every sphere of life: labour markets, housing, social security systems, infrastructures, urban/spatial planning, education, budgets and finances.
The partners in this network have highlighted the following common sub-themes that will form the basis of the transnational exchange:
Ageing and economy (enterprise and the 'silver' economy).
Impact on care systems/arrangements.
Ageing and insecurity.";The main issue of the project is to produce 9 action plans in order to implement concrete actions for an integrated approach to labour market and social policies for older people.;Cities;Europe;Southern Europe;9;IT36;Rome;Urbact II;Action Planning
Inclusion;Environment / Carbon Neutrality;Active Travel Network;4;"The basic goal of the project is to set up a network of international partners to encourage Active Travel in cities as appropriate means of transport for short trips to tackle environmental problems.""";AT;http://urbact.eu/active-travel-network;2009;2012;The project aims to tackle transport problems caused by solo car use in small/medium sized cities by motivating walking/cycling (NMT). In view of the economic crisis and steadily increasing oil prices NMT is a sensible alternative to using cars for short trips in cities. Furthermore, the project contributes to reducing fossil energy and CO2. Professional awareness campaigns for decision makers, stakeholders and sitizens are to be worked out and put into practice in the porject period. Increasing NMT for short trips in cities should also lead to better health of people. The local economy especially shops in city centres can benefit from a higher frequency of pedestrians and people going by bike.;To ensure an effictive impact of network activities on local policies, each partner is obliged to set up an URBACT local Support Group (ULSG). These groups will involve the key stakeholders concerned and act as a steering committee for the action plan in the sexond phase of the project.;Cities;Europe;Western Europe;7;AT5;Weiz;Urbact II;Action Planning
Inclusion;Ageing / Health;Building Healthy Communities;8;"Health is important for the wellbeing of individuals and society, but a healthy population is also a prerequisite for economic productivity and prosperity. The Lisbon strategy underlines the importance of health as a key factor for economic growth. However there is a limited awareness of the contributions that a \\""healthy\\"" urban policy can make to tackle challenges in health.";IT;http://urbact.eu/building-healthy-communities;2008;2011;The main objective of Building healthy Communities is to establish a network of cities in at least 6 different member states participating in a transnational exchange programme for transfer of policy, planning and practice on urban health policies and to provide capacity building for professional development in the field of urban health. ;;Cities;Europe;Southern Europe;10;IT41;Turin;Urbact II;Action Planning
Integrated Urban Development;Physical Urban Development / Environment / Carbon Neutrality / Energy Efficiency / Housing / Urban Renewal;CASH, Cities Action for Sustainable Housing Results;9;Propose new solutions and promote new policies for the sustainable renovation of social and affordable housing units in the European Union.;FR;http://urbact.eu/cash-cities-action-sustainable-housing;2009;2010;As a contribution to Climate Change issue, the network seeks to reduce the energy consumption of buildings and in buildings. It looks for new solutions to renovate social and affordable housing units, in order to improve their energy efficiency (EE) and to influence users' behavior through citizens' involvement.;;Cities;Europe;Western Europe;10;FR12;Echirolles;Urbact II;Action Planning
Economy;Governance / City Branding / Culture & Heritage;CityLogo;12;CityLogo is a transnational learning experience on citybranding and -marketing in modern urban politics. It is about a better positioning of cities in the (post) crisis economic arena and reinforcing the communication dimension in urban management.;NL;http://urbact.eu/citylogo;2013;2015;CityLogo is a network on Innovative Place-Brand Management that has been launched as a reaction to the most common gaps in the way cities and regions address branding and marketing. The rationale is that city-branding should be embedded in broader and participatory processes of re-thinking urban identities to be then filtered by urban-driven communication codes, resulting in more powerful brand-toolkits. In addition, more effective formulas for stakeholder involvement and management should be widely promoted. A multi-dimensional task fed by different perspectives and local agents, with a clear strategic scope. In short, a true exercise of integrated urban management.;;Cities;Europe;Western Europe;10;NL14;Utrecht;Urbact II;Action Planning
Governance;Economy / Urban Renewal / Urban-rural;CityRegion.Net;14;"Develop new structures and tools that make it possible to improve collaboration on the \\""city-region\\"" level.";AT;http://urbact.eu/cityregionnet;2008;2011;Urban sprawl continues to be a predominant trend in European spatial development. Cities function as motors for social and economic development and are vital for common integrated planning. They are also basic service providers for the whole region. It is essential that urban development and planning goes hand in hand with integrated development of the hinterland. Discussions and moderated processes need to take place about duties and functions that could be shared between towns and their surrounding municipalities. ;Cooperations should be formed to guarantee the best use of public and private investments. By identifying best practices and by adapting these models to particular local needs the network aims to improve multilevel governance and counteract urban sprawl.;Cities;Europe;Western Europe;9;AT1;Graz;Urbact II;Action Planning
