"location";"osm_id";"osm_type";"name";"housenumber";"street";"postcode";"city";"state";"country";"osm_key";"osm_value";"lon";"lat";"msg"
", BARCELONA, Spain";"271464";"R";"Barcelona Zoo";NA;"Carrer de Wellington";"08071";"Barcelona";"Catalonia";"Spain";"tourism";"zoo";2,19025476252875;41,3881775;NA
", Zografou, Greece";"2336938307";"N";"Zografou";NA;NA;"15773";NA;"Attica";"Greece";"place";"suburb";23,770726;37,9773935;NA
", Modena, Italy";"553168368";"W";"Residencial Módena Italy";"1240";"Rua Alberto Spredemann";"89107-000";"Pomerode";"Santa Catarina";"Brazil";"building";"yes";-49,18361975;-26,71726865;NA
", Tarragona, Spain";"128346432";"W";"Allegory of Tarragona";NA;"Catalonia Square";"08002";"Barcelona";"Catalonia";"Spain";"tourism";"artwork";2,17070687035002;41,38709515;NA
", Collesalvetti, Italy";"365331";"R";"Italy";NA;NA;NA;NA;NA;"Italy";"place";"country";12,674297;42,6384261;NA
", Limassol, Cyprus";"2087230";"R";"Limassol";NA;NA;NA;NA;"Cyprus";"Cyprus";"boundary";"administrative";32,985589384508;34,79489125;NA
", Roma, Italy";"22883270";"W";"Roma-Fiumicino Airport";NA;"Ciclabile Viale Coccia di Morto";"00054";"Fiumicino";"Lazio";"Italy";"aeroway";"aerodrome";12,2269369575672;41,81435465;NA
", Thessalonique, Greece";"192307";"R";"Greece";NA;NA;NA;NA;NA;"Greece";"place";"country";21,9877132;38,9953683;NA
", Nicosia, Cyprus";"1893015330";"N";"Nicosia";NA;NA;"1011";NA;"Cyprus";"Cyprus";"place";"city";33,364726;35,1739302;NA
", Gorizia, Italy";"365331";"R";"Italy";NA;NA;NA;NA;NA;"Italy";"place";"country";12,674297;42,6384261;NA
", Pikermi, Greece";"789198973";"N";"Pikermi";NA;NA;"19009";NA;"Attica";"Greece";"place";"village";23,9404647;38,002215;NA
", SEVILLA, Spain";"94350689";"W";"Sevilla Street";NA;NA;"43001";"Tarragona";"Catalonia";"Spain";"highway";"residential";1,2466773;41,1140499;NA
", Florence, Italy";"42602";"R";"Florence";NA;NA;NA;NA;"Tuscany";"Italy";"place";"city";11,2555757;43,7698712;NA
", Piraeus, Greece";"1398530";"R";"Municipality of Piraeus";NA;NA;NA;NA;"Attica";"Greece";"boundary";"administrative";23,6559482783993;37,946168;NA
", MALAGA, Spain";"340746";"R";"Málaga";NA;NA;NA;NA;"Andalusia";"Spain";"place";"municipality";-4,4216366;36,7213028;NA
", ATHENS, Greece";"441183";"N";"Athens";NA;NA;"10431";NA;"Attica";"Greece";"place";"city";23,7279843;37,9841493;NA
"13671, Acharnes, Greece";"280845658";"N";"Acharnes";NA;NA;"16371";NA;"Attica";"Greece";"place";"city";23,7368653;38,0841607;NA
"80078, Pozzuoli, Italy";"40808";"R";"Pozzuoli";NA;NA;NA;NA;"Campania";"Italy";"place";"town";14,1219109;40,822643;NA
"196, Roma, Italy";"41485";"R";"Rome";NA;NA;NA;NA;"Lazio";"Italy";"place";"city";12,4853384;41,894802;NA
", Seville, Spain";"342563";"R";"Seville";NA;NA;NA;NA;"Andalusia";"Spain";"place";"city";-5,9953403;37,3886303;NA
"29071, Málaga, Spain";"340746";"R";"Málaga";NA;NA;NA;NA;"Andalusia";"Spain";"place";"municipality";-4,4216366;36,7213028;NA
"40129, BOLOGNA, Italy";"589690151";"W";"Northern Italy Pipeline System";NA;"Via Ca' Rosa";"40129";"Bologna";"Emilia-Romagna";"Italy";"man_made";"pipeline";11,3387723;44,5367382;NA
"147, Roma, Italy";"41485";"R";"Rome";NA;NA;NA;NA;"Lazio";"Italy";"place";"city";12,4853384;41,894802;NA
"6005, NICE, France";"170100";"R";"Nice";NA;NA;NA;NA;"Provence-Alpes-Côte d'Azur";"France";"place";"city";7,2683912;43,7009358;NA
"85354, Freising, Germany";"30005";"R";"Freising";NA;NA;NA;NA;"Bavaria";"Germany";"place";"town";11,7439565;48,4008273;NA
"4780, Schärding, Austria";"3516773861";"N";"GMc - Parts - Austria";"55a";"Linzer Straße";"4780";"Schärding";"Upper Austria";"Austria";"shop";"hardware";13,4390691;48,4471227;NA
"4962, Mining, Austria";"404502";"R";"Mining";NA;NA;"4962";NA;"Upper Austria";"Austria";"place";"village";13,1620614;48,2765455;NA
"4783, Wernstein am Inn, Austria";"660038";"R";"Wernstein am Inn";NA;NA;"4783";NA;"Upper Austria";"Austria";"boundary";"administrative";13,4836910488038;48,5049827;NA
"5412, Puch, Austria";"86350";"R";"Puch bei Hallein";NA;NA;"5412";NA;"Salzburg";"Austria";"place";"town";13,0904526;47,716852;NA
"6345, Kössen, Austria";"85652";"R";"Kössen";NA;NA;"6345";NA;"Tyrol";"Austria";"place";"village";12,4055164;47,6703019;NA
"6580, St. Anton am Arlberg, Austria";"89596212";"W";"Arlberg Straßentunnel";NA;NA;"6580";"Sankt Anton am Arlberg";"Tyrol";"Austria";"highway";"trunk";10,2565766;47,1223734;NA
"6652, Elbigenalp, Austria";"37807";"R";"Elbigenalp";NA;NA;"6652";NA;"Tyrol";"Austria";"place";"village";10,436874;47,2910157;NA
"93047, Regensburg, Germany";"240120926";"N";"Regensburg";NA;NA;"93047";"Regensburg";"Bavaria";"Germany";"place";"city";12,0974869;49,0195333;NA
"82487, Oberammergau, Germany";"937907";"R";"Oberammergau";NA;NA;"82487";NA;"Bavaria";"Germany";"place";"town";11,0673611;47,5966949;NA
"83278, Traunstein, Germany";"941745";"R";"Traunstein";NA;NA;"83278";NA;"Bavaria";"Germany";"place";"town";12,6423403;47,8701474;NA
"83098, Brannenburg, Germany";"2186915";"R";"Brannenburg";NA;NA;"83098";NA;"Bavaria";"Germany";"place";"village";12,1034461;47,7371683;NA
"82494, Krün, Germany";"309230951";"W";"Krün";NA;NA;"82494";"Krün";"Bavaria";"Germany";"landuse";"residential";11,2809599206508;47,50417825;NA
"83075, Bad Feilnbach, Germany";"2186913";"R";"Bad Feilnbach";NA;NA;"83075";NA;"Bavaria";"Germany";"place";"town";12,0070798;47,7745858;NA
"82431, Kochel am See, Germany";"157111584";"W";"Schmied-von-Kochel-Platz";NA;NA;"82431";"Kochel am See";"Bavaria";"Germany";"highway";"primary";11,3680993;47,6588422;NA
"87616, Marktoberdorf, Germany";"445608";"R";"Marktoberdorf";NA;NA;"87616";NA;"Bavaria";"Germany";"place";"town";10,6170847;47,7750654;NA
"86161, Augsburg, Germany";"62407";"R";"Augsburg";NA;NA;NA;NA;"Bavaria";"Germany";"place";"city";10,8986971;48,3668041;NA
"83022, Rosenheim, Germany";"51296461";"N";"Rosenheim";NA;NA;"83022";NA;"Bavaria";"Germany";"place";"town";12,127262;47,8539273;NA
"80539, München, Germany";"30812377";"W";"Augustiner Bräu München";NA;NA;"80339";"Munich";"Bavaria";"Germany";"landuse";"industrial";11,5437308232979;48,13889725;NA
"6352, Ellmau, Austria";"5955116260";"N";"Haus Austria";"15";"Austraße";"6352";"Ellmau";"Tyrol";"Austria";"tourism";"apartment";12,3007218;47,5137227;NA
"94545, Hohenau, Germany";"958943";"R";"Hohenau";NA;NA;"94545";NA;"Bavaria";"Germany";"place";"village";13,4908107;48,8499459;NA
"D-94032, Passau, Germany";"240057351";"N";"Passau";NA;NA;"94032";"Passau";"Bavaria";"Germany";"place";"town";13,4609744;48,5748229;NA
"85350, Freising, Germany";"30005";"R";"Freising";NA;NA;NA;NA;"Bavaria";"Germany";"place";"town";11,7439565;48,4008273;NA
"80538, München, Germany";"2065218764";"N";"Dolby Germany GmbH";"2";"Unsöldstraße";"80538";"Munich";"Bavaria";"Germany";"office";"company";11,5854119;48,1424242;NA
"87435, Kempten (Allgäu), Germany";"240126519";"N";"Kempten (Allgäu)";NA;NA;"87435";"Kempten (Allgäu)";"Bavaria";"Germany";"place";"town";10,3168835;47,7267063;NA
"87629, Füssen, Germany";"448298";"R";"Füssen";NA;NA;"87629";NA;"Bavaria";"Germany";"place";"town";10,6977089;47,5709212;NA
"6500, Landeck, Austria";"77346";"R";"Landeck";NA;NA;"6500";NA;"Tyrol";"Austria";"place";"town";10,5704571;47,1424135;NA
"38402, Saint-Martin-d'Hères, France";"2509504232";"N";"Cortecs";"915";"Avenue Centrale";"38402";"Saint-Martin-d'Hères";"Auvergne-Rhône-Alpes";"France";"amenity";"library";5,7701452;45,1924521;NA
"25000, Besançon, France";"103599";"R";"Besançon";NA;NA;"25000";NA;"Bourgogne-Franche-Comté";"France";"place";"city";6,0243246;47,237953;NA
"25030, Besançon, France";"1622886108";"N";NA;NA;NA;"25030";"Besançon";"Bourgogne-Franche-Comté";"France";"place";"postcode";6,025272;47,2336844;NA
"1015, Lausanne, Switzerland";"23391253";"W";"École Polytechnique Fédérale de Lausanne";NA;"Place Maurice-Cosandey";"1015";"Ecublens";"Vaud";"Switzerland";"amenity";"university";6,566561505148;46,5186594;NA
"74940, Annecy le vieux, France";"102267";"R";"Annecy-le-Vieux";NA;NA;"74940";"Annecy";"Auvergne-Rhône-Alpes";"France";"boundary";"administrative";6,16587472401777;45,9194156;NA
"90016, Belfort Cedex, France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not found"
"1202, Genève, Switzerland";"14363861";"W";"World Health Organization";"20";"Avenue Appia";"1202";"Geneva";"Geneva";"Switzerland";"office";"government";6,134280801089;46,2327077;NA
"74160, Archamps, France";"78999";"R";"Archamps";NA;NA;"74160";NA;"Auvergne-Rhône-Alpes";"France";"place";"village";6,1332458;46,1354538;NA
"74994, Annecy cedex 9, France";"62490194";"W";"Laboratoire d'Annecy de physique des particules";"9";"Chemin de Bellevue";"74941";"Annecy";"Auvergne-Rhône-Alpes";"France";"amenity";"university";6,16047554978338;45,9210698;NA
"25461, Etupes, France";"2307208";"R";"Étupes";NA;NA;"25460";NA;"Bourgogne-Franche-Comté";"France";"place";"village";6,8617959;47,507832;NA
"74940, Annecy Le Vieux, France";"102267";"R";"Annecy-le-Vieux";NA;NA;"74940";"Annecy";"Auvergne-Rhône-Alpes";"France";"boundary";"administrative";6,16587472401777;45,9194156;NA
"25010, Besançon, France";"103599";"R";"Besançon";NA;NA;"25000";NA;"Bourgogne-Franche-Comté";"France";"place";"city";6,0243246;47,237953;NA
"2000, Neuchâtel, Switzerland";"6195632543";"N";"Bibliothèque publique et universitaire de Neuchâtel";"3";"Place Numa-Droz";"2000";"Neuchâtel";"Neuchâtel";"Switzerland";"amenity";"library";6,9313015;46,9900763;NA
"1060, Bourg en Bresse Cedex 9, France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not found"
"25042, Besan, France";"3144059710";"N";"France Tate / Besamah";NA;NA;NA;NA;"River Cess County";"Liberia";"place";"hamlet";-9,6068619;5,74076;NA
"69364, Lyon cedex 07, France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not found"
"25031, Besançon, France";"103599";"R";"Besançon";NA;NA;"25000";NA;"Bourgogne-Franche-Comté";"France";"place";"city";6,0243246;47,237953;NA
"2300, La Chaux de Fonds, Switzerland";"548442700";"W";"La Ronde";NA;NA;"2300";"La Chaux-de-Fonds";"Neuchâtel";"Switzerland";"waterway";"stream";6,8562573;47,1263375;NA
"2001, Neuchâtel, Switzerland";"1685500";"R";"Lac de Neuchâtel (NE)";NA;NA;"2001";NA;"Neuchâtel";"Switzerland";"boundary";"administrative";6,87160503871714;46,93182145;NA
"1705, Fribourg, Switzerland";"27079667";"W";"Sentier Guillaume-Ritter";NA;NA;"1705";"Fribourg - Freiburg";"Fribourg";"Switzerland";"waterway";"weir";7,164099;46,7981143;NA
"192, Genève, Switzerland";"3795296262";"N";NA;"192";"Rue de Bernex";"1233";"Bernex";"Geneva";"Switzerland";"place";"house";6,0807318;46,1782701;NA
"25043, Besan, France";"3144059710";"N";"France Tate / Besamah";NA;NA;NA;NA;"River Cess County";"Liberia";"place";"hamlet";-9,6068619;5,74076;NA
"2302, La Chaux-de Fonds, Switzerland";"1685495";"R";"La Chaux-de-Fonds";NA;NA;NA;NA;"Neuchâtel";"Switzerland";"place";"town";6,8324545;47,103287;NA
"25300, Pontarlier, France";"75580";"R";"Pontarlier";NA;NA;"25300";NA;"Bourgogne-Franche-Comté";"France";"place";"town";6,3546345;46,9040348;NA
"73370, Le Bourget du Lac, France";"74298";"R";"Le Bourget-du-Lac";NA;NA;"73370";NA;"Auvergne-Rhône-Alpes";"France";"place";"village";5,8595715;45,6470041;NA
"74100, Ambilly, France";"104968";"R";"Ambilly";NA;NA;"74100";NA;"Auvergne-Rhône-Alpes";"France";"place";"village";6,2224568;46,1960316;NA
"1211, GENEVE, Switzerland";"7870954";"W";"Bibliothèque de Genève";"1";"Promenade des Bastions";"1211";"Geneva";"Geneva";"Switzerland";"amenity";"library";6,14524692133534;46,1988543;NA
"39039, Lons-le-Saunier, France";"152508";"R";"Lons-le-Saunier";NA;NA;"39000";NA;"Bourgogne-Franche-Comté";"France";"place";"town";5,5586167;46,6739021;NA
"1347, LE SENTIER, Switzerland";"130293701";"N";"Le Sentier";NA;NA;"1347";NA;"Vaud";"Switzerland";"place";"village";6,2314896;46,606022;NA
"74012, Annecy cedex, France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not found"
"1951, SION, Switzerland";"6179498324";"N";"Médiathèque Valais - Sion";"45";"Avenue de Pratifori";"1951";"Sion";"Valais/Wallis";"Switzerland";"amenity";"library";7,3555264;46,2308283;NA
"90020, Belfort, France";"75618";"R";"Belfort";NA;NA;"90000";NA;"Bourgogne-Franche-Comté";"France";"place";"town";6,8628942;47,6379599;NA
"2740, MOUTIER, Switzerland";"1682559";"R";"Moutier";NA;NA;"2740";NA;"Bern";"Switzerland";"place";"village";7,3704192;47,2796142;NA
"25031, Besan, France";"3144059710";"N";"France Tate / Besamah";NA;NA;NA;NA;"River Cess County";"Liberia";"place";"hamlet";-9,6068619;5,74076;NA
"2001, NEUCHATEL, Switzerland";"1685500";"R";"Lac de Neuchâtel (NE)";NA;NA;"2001";NA;"Neuchâtel";"Switzerland";"boundary";"administrative";6,87160503871714;46,93182145;NA
"69425, Lyon Cedex 03, France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Not found"
"1920, Martigny, Switzerland";"393648546";"W";"Skate-Parc de Martigny";NA;NA;"1920";"Martigny";"Valais/Wallis";"Switzerland";"leisure";"park";7,08464801381949;46,1075319;NA
"74500, Thonon-les-Bains, France";"105749";"R";"Évian-les-Bains";NA;NA;"74500";NA;"Auvergne-Rhône-Alpes";"France";"place";"village";6,5897931;46,400979;NA
"1870, MONTHEY, Switzerland";"26561943";"W";"La Vièze";NA;NA;"1870";"Troistorrents";"Valais/Wallis";"Switzerland";"waterway";"river";6,939543;46,2451331;NA
"1920, MARTIGNY, Switzerland";"393648546";"W";"Skate-Parc de Martigny";NA;NA;"1920";"Martigny";"Valais/Wallis";"Switzerland";"leisure";"park";7,08464801381949;46,1075319;NA
"1304, Cossonay, Switzerland";"553981817";"W";"Route de Cossonay";NA;NA;"1304";"Cossonay";"Vaud";"Switzerland";"highway";"secondary";6,510123;46,6006362;NA
"69751, CHARBONNIERES LES BAINS, France";"252600";"R";"Charbonnières-les-Bains";NA;NA;"69260";NA;"Auvergne-Rhône-Alpes";"France";"place";"village";4,7459;45,7787;NA
"1254, Jussy, Switzerland";"1685493";"R";"Jussy";NA;NA;"1254";NA;"Geneva";"Switzerland";"place";"village";6,269155;46,2367629;NA
"74370, Saint Martin de Bellevue, France";"1717373514";"N";"Col de la Frétallaz";NA;NA;"74370";"Fillière";"Auvergne-Rhône-Alpes";"France";"mountain_pass";"yes";6,1460321;45,9650928;NA
"1908, Riddes, Switzerland";"6984068";"R";"forêt de Riddes";NA;NA;"1908";"Riddes";"Valais/Wallis";"Switzerland";"landuse";"forest";7,22124319918683;46,1594802;NA
"1220, Divonne-les-Bains, France";"139006";"R";"Divonne-les-Bains";NA;NA;"01220";NA;"Auvergne-Rhône-Alpes";"France";"place";"village";6,1426587;46,3553934;NA
"1897, Le Bouveret, Switzerland";"2998747987";"N";"Le Bouveret";NA;NA;"1897";NA;"Valais/Wallis";"Switzerland";"place";"village";6,8540248;46,382908;NA
"25610, Arc et Senans, France";"108661";"R";"Arc-et-Senans";NA;NA;"25610";NA;"Bourgogne-Franche-Comté";"France";"place";"village";5,7818173;47,0332329;NA
"2012, Auvernier, Switzerland";"1685446";"R";"Auvernier";NA;NA;"2012";"Milvignes";"Neuchâtel";"Switzerland";"boundary";"administrative";6,87414750026973;46,9761042;NA
"25304, Pontarlier, France";"75580";"R";"Pontarlier";NA;NA;"25300";NA;"Bourgogne-Franche-Comté";"France";"place";"town";6,3546345;46,9040348;NA
"2114, Fleurier, Switzerland";"621448481";"W";"Le Fleurier";NA;NA;"2114";"Val-de-Travers";"Neuchâtel";"Switzerland";"waterway";"stream";6,5840333;46,8993482;NA
"1201, Genève, Switzerland";"4890696636";"N";"Genève";NA;"Place de Cornavin";"1201";"Geneva";"Geneva";"Switzerland";"railway";"station";6,1426218;46,2102288;NA
"74007, Annecy Cedex, France";"102480";"R";"Annecy";NA;NA;"74000";"Annecy";"Auvergne-Rhône-Alpes";"France";"boundary";"administrative";6,135465100226;45,88975045;NA
"1260, NYON, Switzerland";"1685074";"R";"Nyon";NA;NA;"1260";NA;"Vaud";"Switzerland";"place";"town";6,2402791;46,3820585;NA
"74290, Veyrier-du-Lac, France";"102502";"R";"Veyrier-du-Lac";NA;NA;"74290";NA;"Auvergne-Rhône-Alpes";"France";"place";"village";6,1753598;45,8872046;NA
"90000, Belfort, France";"75618";"R";"Belfort";NA;NA;"90000";NA;"Bourgogne-Franche-Comté";"France";"place";"town";6,8628942;47,6379599;NA
"CH - 2800, Delémont, Switzerland";"2603063244";"N";"Dos le Chavelier";NA;NA;"2800";NA;"Jura";"Switzerland";"place";"hamlet";7,3303077;47,3688164;NA
"1820, Territet-Montreux, Switzerland";"2797706069";"N";"Territet";NA;"Rue de Bon-Port";"1820";"Montreux";"Vaud";"Switzerland";"railway";"halt";6,9227327;46,4264148;NA
"74160, ARCHAMPS, France";"78999";"R";"Archamps";NA;NA;"74160";NA;"Auvergne-Rhône-Alpes";"France";"place";"village";6,1332458;46,1354538;NA
"1014, LAUSANNE, Switzerland";"25718547";"W";"Cathédrale Notre-Dame de Lausanne";NA;"Place de la Cathédrale";"1014";"Lausanne";"Vaud";"Switzerland";"amenity";"place_of_worship";6,63536344675382;46,52258475;NA
"25048, Besan, France";"460345453";"N";"Etap Hotel Besançon nord";"1";"Rue de la Poste";"25048";"École-Valentin";"Bourgogne-Franche-Comté";"France";"tourism";"hotel";5,9943168;47,2781457;NA
"1950, Sion, Switzerland";"1685377";"R";"Sion";NA;NA;"1950";"Sion";"Valais/Wallis";"Switzerland";"boundary";"administrative";7,3637051847832;46,23021515;NA
"25048, BESANCON cedex, France";"220676470";"W";"Rue de Besançon";NA;NA;"25480";"Miserey-Salines";"Bourgogne-Franche-Comté";"France";"highway";"residential";5,9818408;47,2859536;NA
"74994, Annecy, France";"102480";"R";"Annecy";NA;NA;"74000";"Annecy";"Auvergne-Rhône-Alpes";"France";"boundary";"administrative";6,135465100226;45,88975045;NA
"1006, Lausanne, Switzerland";"48137918";"W";"International Skating Union (ISU)";"17";"Avenue Juste-Olivier";"1006";"Lausanne";"Vaud";"Switzerland";"building";"yes";6,63698337153266;46,5143407;NA
"25030, Besan, France";"1622886108";"N";NA;NA;NA;"25030";"Besançon";"Bourgogne-Franche-Comté";"France";"place";"postcode";6,025272;47,2336844;NA
"3012, Berne, Switzerland";"3960418";"R";"University of Bern";NA;"Tumarkinweg";"3012";"Bern";"Bern";"Switzerland";"amenity";"university";7,43867623970416;46,9509023;NA
"1630, SAINT GENIS POUILLY, France";"139618";"R";"Saint-Genis-Pouilly";NA;NA;"01630";NA;"Auvergne-Rhône-Alpes";"France";"place";"town";6,0253162;46,2440083;NA
"74944, Annecy-le-Vieux, France";"102267";"R";"Annecy-le-Vieux";NA;NA;"74940";"Annecy";"Auvergne-Rhône-Alpes";"France";"boundary";"administrative";6,16587472401777;45,9194156;NA
"74100, Annemasse, France";"104959";"R";"Annemasse";NA;NA;"74100";NA;"Auvergne-Rhône-Alpes";"France";"place";"town";6,2341093;46,1934005;NA
"74200, Thonon les Bains, France";"105786";"R";"Thonon-les-Bains";NA;NA;"74200";NA;"Auvergne-Rhône-Alpes";"France";"place";"town";6,4779448;46,3731303;NA
"F - 74390, CHATEL, France";"104981";"R";"Châtel";NA;NA;"74390";NA;"Auvergne-Rhône-Alpes";"France";"place";"village";6,8412678;46,2671987;NA
"74944, Annecy le Vieux Cedex, France";"102267";"R";"Annecy-le-Vieux";NA;NA;"74940";"Annecy";"Auvergne-Rhône-Alpes";"France";"boundary";"administrative";6,16587472401777;45,9194156;NA
"21078, Dijon Cedex, France";"254705791";"W";"Cedeo";NA;"Boulevard Bernard Palissy";"21300";"Chenôve";"Bourgogne-Franche-Comté";"France";"shop";"doityourself";5,02008531889826;47,2881385;NA
"1820, Veytaux, Switzerland";"1685179";"R";"Veytaux";NA;NA;"1820";NA;"Vaud";"Switzerland";"place";"village";6,9275648;46,4215725;NA
"25041, Besançon, France";"103599";"R";"Besançon";NA;NA;"25000";NA;"Bourgogne-Franche-Comté";"France";"place";"city";6,0243246;47,237953;NA
"1003, Bourg en Bresse, France";"2700752282";"N";NA;"1003";"Chemin de Viocet";"01000";"Saint-Denis-lès-Bourg";"Auvergne-Rhône-Alpes";"France";"place";"house";5,1658425;46,217845;NA
"1211, Genève, Switzerland";"7870954";"W";"Bibliothèque de Genève";"1";"Promenade des Bastions";"1211";"Geneva";"Geneva";"Switzerland";"amenity";"library";6,14524692133534;46,1988543;NA
"25208, MONTBELIARD, France";"115177";"R";"Montbéliard";NA;NA;"25200";NA;"Bourgogne-Franche-Comté";"France";"place";"town";6,7977564;47,5102368;NA
"90500, Beaucourt, France";"116406";"R";"Beaucourt";NA;NA;"90500";NA;"Bourgogne-Franche-Comté";"France";"place";"village";6,9256448;47,4851387;NA
"2350, Saignelegier, Switzerland";"5379945921";"N";"Le haut du bemont";NA;NA;"2350";"Saignelégier";"Jura";"Switzerland";"place";"isolated_dwelling";6,9999342;47,2633121;NA
"74360, Abondance, France";"104976";"R";"Abondance";NA;NA;"74360";NA;"Auvergne-Rhône-Alpes";"France";"place";"village";6,7198574;46,280661;NA
"1870, Monthey, Switzerland";"26561943";"W";"La Vièze";NA;NA;"1870";"Troistorrents";"Valais/Wallis";"Switzerland";"waterway";"river";6,939543;46,2451331;NA
"F-74041, Annecy Cedex, France";"2390533";"R";"Lac d'Annecy";NA;"Route du Laudon";"74410";"Saint-Jorioz";"Auvergne-Rhône-Alpes";"France";"natural";"water";6,17117553237047;45,84930615;NA
"1211, Geneve, Switzerland";"7870954";"W";"Bibliothèque de Genève";"1";"Promenade des Bastions";"1211";"Geneva";"Geneva";"Switzerland";"amenity";"library";6,14524692133534;46,1988543;NA
"39310, Lajoux, France";"42453165";"W";"Route de Lajoux";NA;NA;"39310";"Lamoura";"Bourgogne-Franche-Comté";"France";"highway";"tertiary";5,9686058;46,3911337;NA
"23000, La Chaux de Fonds, Switzerland";"1685495";"R";"La Chaux-de-Fonds";NA;NA;NA;NA;"Neuchâtel";"Switzerland";"place";"town";6,8324545;47,103287;NA
"1227, Les Acacias, Switzerland";"3442706158";"N";"Les Acacias";NA;NA;"1235";"Geneva";"Geneva";"Switzerland";"place";"suburb";6,1304269;46,1929617;NA
"25000 , Besancon, France";"103599";"R";"Besançon";NA;NA;"25000";NA;"Bourgogne-Franche-Comté";"France";"place";"city";6,0243246;47,237953;NA
"1820, Montreux, Switzerland";"243336555";"W";"Baye de Montreux";NA;NA;"1820";"Montreux";"Vaud";"Switzerland";"waterway";"stream";6,9113145;46,4314175;NA
"69751, Charbonnières des Bains , France";"252600";"R";"Charbonnières-les-Bains";NA;NA;"69260";NA;"Auvergne-Rhône-Alpes";"France";"place";"village";4,7459;45,7787;NA
"74994, Annecy Cedex 9, France";"62490194";"W";"Laboratoire d'Annecy de physique des particules";"9";"Chemin de Bellevue";"74941";"Annecy";"Auvergne-Rhône-Alpes";"France";"amenity";"university";6,16047554978338;45,9210698;NA
"75648, Paris, France";"7444";"R";"Paris";NA;NA;NA;NA;"Ile-de-France";"France";"place";"city";2,3514992;48,8566101;NA
"3063 , Ittigen, Switzerland";"791483378";"N";"Mannenberg";NA;NA;"3063";"Ittigen";"Bern";"Switzerland";"natural";"peak";7,4842345;46,9841346;NA
"54520, Laxou, France";"52398";"R";"Laxou";NA;NA;"54520";NA;"Grand Est";"France";"place";"town";6,1522232;48,6848709;NA
"74330, Poisy, France";"74543";"R";"Poisy";NA;NA;"74330";NA;"Auvergne-Rhône-Alpes";"France";"place";"village";6,0626528;45,9220363;NA
"2852, Courtételle, Switzerland";"1685594";"R";"Courtételle";NA;NA;"2852";NA;"Jura";"Switzerland";"place";"village";7,3162671;47,3418687;NA
"74550 , PERRIGNIER, France";"106645";"R";"Perrignier";NA;NA;"74550";NA;"Auvergne-Rhône-Alpes";"France";"place";"village";6,4418109;46,3044117;NA
"69603, Villeurbanne, France";"120989";"R";"Villeurbanne";NA;NA;"69100";NA;"Auvergne-Rhône-Alpes";"France";"place";"city";4,8869339;45,7733105;NA
"01002, BOURG-EN-BRESSE, France";"140253";"R";"Bourg-en-Bresse";NA;NA;"01000";NA;"Auvergne-Rhône-Alpes";"France";"place";"town";5,2250324;46,2051192;NA
"1880, Bex, Switzerland";"1684852";"R";"Bex";NA;NA;"1880";NA;"Vaud";"Switzerland";"place";"village";7,0123881;46,2513776;NA
"25503, Morteau , France";"142086";"R";"Morteau";NA;NA;"25500";NA;"Bourgogne-Franche-Comté";"France";"place";"village";6,6046144;47,0569433;NA
"2350, Saignelégier, Switzerland";"5379945921";"N";"Le haut du bemont";NA;NA;"2350";"Saignelégier";"Jura";"Switzerland";"place";"isolated_dwelling";6,9999342;47,2633121;NA
"80439, Annecy, France";"102480";"R";"Annecy";NA;NA;"74000";"Annecy";"Auvergne-Rhône-Alpes";"France";"boundary";"administrative";6,135465100226;45,88975045;NA
"25031, Besancon, France";"103599";"R";"Besançon";NA;NA;"25000";NA;"Bourgogne-Franche-Comté";"France";"place";"city";6,0243246;47,237953;NA
"74390, Chatel, France";"104981";"R";"Châtel";NA;NA;"74390";NA;"Auvergne-Rhône-Alpes";"France";"place";"village";6,8412678;46,2671987;NA
"1872, Troistorrents, Switzerland";"385366023";"W";"Route de Troistorrents";NA;NA;"1872";"Troistorrents";"Valais/Wallis";"Switzerland";"highway";"secondary";6,9220979;46,2320609;NA
"90300, Valdoie, France";"75620";"R";"Valdoie";NA;NA;"90300";NA;"Bourgogne-Franche-Comté";"France";"place";"village";6,8413823;47,6651582;NA
"39140, Arlay, France";"147909";"R";"Arlay";NA;NA;"39140";"Arlay";"Bourgogne-Franche-Comté";"France";"boundary";"administrative";5,53293145160361;46,77213045;NA
"4800, Zofingen, Switzerland";"82052604";"W";"Altachen";NA;NA;"4800";"Zofingen";"Aargau";"Switzerland";"waterway";"stream";7,9417452;47,2792219;NA
"93500   , PANTIN, France";"67685";"R";"Pantin";NA;NA;"93500";NA;"Ile-de-France";"France";"place";"town";2,4019804;48,8965023;NA
"74000, Annency, France";"2366251593";"N";"Le France";NA;"Avenue de la Mavéria";"74940";"Annecy";"Auvergne-Rhône-Alpes";"France";"historic";"wreck";6,149522;45,897655;NA
"1920 , Martigny, Switzerland";"393648546";"W";"Skate-Parc de Martigny";NA;NA;"1920";"Martigny";"Valais/Wallis";"Switzerland";"leisure";"park";7,08464801381949;46,1075319;NA
