"Programme";"Acronym";"Project.Partner";"Lead.Partner";"Street";"Postal.code";"Town";"Country";"Website";"Department";"Legal.Status";"Country.code";"NUTS1..or.equivalent.";"NUTS2..or.equivalent.";"NUTS3..or.equivalent.";"location";"Postal.code2";"location2";"osm_id";"osm_type";"name";"housenumber";"street";"postcode";"city";"state";"country.x";"osm_key";"osm_value";"lon.x";"lat.x";"msg";"lon.y";"lat.y";"type";"loctype";"north";"south";"east";"west";"locality";"country.y";"postal_code";"administrative_area_level_1";"SourceGeoCode";"TownLowerCase";"CountrySimplified";"CountryGeoCode";"CountryGeocodeSimplified"
"2000 - 2006 North Sea Region ";"CREST";"Länsstyrelsen Västra Götaland";"Yes";"S. Hamngatan 3";"S-403 40";"Göteborg";"Sweden";"";"";"";"SE Sweden / SVERIGE";"SE2  / SÖDRA SVERIGE";"SE23  / Västsverige";"SE232  / Västra Götalands län";"S-403 40, Göteborg, Sweden";"S-40340";"Göteborg, Sweden";"93718024";"W";"Sweden";NA;NA;"4026";"Malitlit";"Laguna";"Philippines";"highway";"residential";121,100809;14,2664801;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"göteborg";"Sweden";"Philippines";"Philippines"
"2000 - 2006 North Sea Region ";"S@S";"Norwegian Coastal Administration";"Yes";"Serviceboks 625 N";"NO-4809";"Arendal";"Norway";"http://www.northsearegion.eu/iiib/home/";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO04  / Agder og Rogaland";"NO041  / Aust-Agder";"NO-4809, Arendal, Norway";"NO-4809";"Arendal, Norway";"8673542";"W";"Norway";NA;NA;"48094";"Washington Township";"Michigan";"United States of America";"highway";"residential";-83,030309;42,723284;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"arendal";"Norway";"United States of America";"United States of America"
"2000 - 2006 North Sea Region ";"ToLearn";"Christian-Albrechts-Universität zu Kiel";"Yes";"Ludewig-Meyn-Strasse 14";"D-24098";"Kiel";"Germany";"";"";"";"DE Germany / DEUTSCHLAND";"DEF  / SCHLESWIG-HOLSTEIN";"DEF0  / Schleswig-Holstein";"DEF02  / Kiel, Kreisfreie Stadt";"D-24098, Kiel, Germany";"D-24098";"Kiel, Germany";"286352537";"W";"Rua Germano Kiel Batista";NA;NA;"39801260";"Teófilo Otoni";"Minas Gerais";"Brazil";"highway";"residential";-41,4779816;-17,8441639;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"kiel";"Germany";"Brazil";"Brazil"
"2000 - 2006 North Sea Region ";"FSII";"Länsstyrelsen Västra Götalands län";"Yes";"S. Hamngatan 3";"S-403 40";"Göteborg";"Sweden";"http://www.northsearegion.eu/iiib/home/";"";"";"SE Sweden / SVERIGE";"SE2  / SÖDRA SVERIGE";"SE23  / Västsverige";"SE232  / Västra Götalands län";"S-403 40, Göteborg, Sweden";"S-40340";"Göteborg, Sweden";"93718024";"W";"Sweden";NA;NA;"4026";"Malitlit";"Laguna";"Philippines";"highway";"residential";121,100809;14,2664801;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"göteborg";"Sweden";"Philippines";"Philippines"
"2000 - 2006 North West Europe";"BRAIN DRAIN";"University of Twente, Faculteit BBT (School of Business, government and technology)";"Yes";"P.O.Box 217";"7500 AE";"Enschede";"Netherlands";"http://3b.nweurope.eu/";"";"";"NL Netherlands / NEDERLAND";"NL2  / OOST-NEDERLAND";"NL21  / Overijssel";"NL213  / Twente";"7500 AE, Enschede, Netherlands";"7500AE";"Enschede, Netherlands";"15188105";"W";"Netherlands Lane";NA;NA;"75025";"Plano";"Texas";"United States of America";"highway";"residential";-96,731882;33,074533;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"enschede";"Netherlands";"United States of America";"United States of America"
"2000 - 2006 Northern Periphery";"REN";"Micropolis Ltd";"Yes";"Piisilta 1";"91100";"Ii Municipality";"Finland";"";"";"";"FI Finland / SUOMI / FINLAND";"FI1  / MANNER-SUOMI";"FI1D  / Pohjois- ja Itä-Suomi";"FI1D6  / Pohjois-Pohjanmaa";"91100, Ii Municipality, Finland";"91100";"Ii Municipality, Finland";"305583438";"W";"Municipalité Service Technique";NA;"Boulevard Hassan II شارع الحسن الثاني";"91004";"Chefchaouen";"Tangier-Tetouan-Al Hoceima";"Morocco";"building";"yes";-5,26726941055934;35,1683266;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"ii municipality";"Finland";"Morocco";"Morocco"
"2000 - 2006 Baltic Sea Region";"BCP 2004-2007";"Wonderful Copenhagen";"Yes";"Gammel Kongvej 1";"1610";"Copenhagen V";"Denmark";"http://www.bsrinterreg.net/index.html";"";"";"DK Denmark / DANMARK";"DK0  / DANMARK";"DK01  / Hovedstaden";"DK011  / Byen København";"1610, Copenhagen V, Denmark";"1610";"Copenhagen V, Denmark";"16853749";"W";"Copenhagen";NA;NA;"1611";"Manggahan";NA;"Philippines";"highway";"residential";121,0989607;14,6052344;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"copenhagen v";"Denmark";"Philippines";"Philippines"
"2000 - 2006 Baltic Sea Region";"BIRD";"County Administration Board of Västra Götaland";"Yes";"Box 224";"532 23";"Skara";"Sweden";"http://www.bsrinterreg.net/index.html";"";"";"SE Sweden / SVERIGE";"SE2  / SÖDRA SVERIGE";"SE23  / Västsverige";"SE232  / Västra Götalands län";"532 23, Skara, Sweden";"53223";"Skara, Sweden";"4764054186";"N";NA;"23";"Skåravegen";"5384";"Torangsvåg";"Hordaland";"Norway";"place";"house";5,163004;60,145182;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"skara";"Sweden";"Norway";"Norway"
"2000 - 2006 Baltic Sea Region";"HEPRO";"Ostfold County Council";"Yes";"Oscar Pedersens vei 39";"1702";"Sapsborg";"Norway";"http://www.bsrinterreg.net/index.html";"";"";"NO Norway / NORGE";"NO0  / NORGE";"NO03  / Sør-Østlandet";"NO031  / Østfold";"1702, Sapsborg, Norway";"1702";"Sapsborg, Norway";"12339610";"W";"Norway Street";NA;NA;"17050";"Mechanicsburg";"Pennsylvania";"United States of America";"highway";"residential";-77,001845;40,221974;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"sapsborg";"Norway";"United States of America";"United States of America"
"2000 - 2006 Baltic Sea Region";"i-COIN";"West Sweden/Municipality of Svenljunga";"Yes";"Boråsvägen 13";"512 80";"Svenljunga";"Sweden";"http://www.bsrinterreg.net/index.html";"";"";"SE Sweden / SVERIGE";"SE2  / SÖDRA SVERIGE";"SE23  / Västsverige";"SE232  / Västra Götalands län";"512 80, Svenljunga, Sweden";"51280";"Svenljunga, Sweden";"2834666116";"N";NA;"80";"Sweensstraat";"5171BR";"Loon op Zand";"North Brabant";"The Netherlands";"place";"house";5,0170645;51,6584684;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"svenljunga";"Sweden";"The Netherlands";"Netherlands"
"2000 - 2006 Interreg IIIC South";"DEDUCE";"MINISTÈRE DE L'ENVIRONNEMENT ET DU LOGEMENT - GOUVERNEMENT CATALAN";"Yes";"Avenida Diagonal, 523 - 525";"8029";"BARCELONE";"Spain";"http://www.interreg3c.net/web/south_fr";"";"";"ES Spain / ESPAÑA";"ES5  / ESTE";"ES51  / Cataluña";"ES511  / Barcelona";"8029, BARCELONE, Spain";"8029";"BARCELONE, Spain";"28868706";"W";"Spain";NA;NA;"8023";"Davao";"Davao";"Philippines";"highway";"residential";125,5557155;7,0502214;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"barcelone";"Spain";"Philippines";"Philippines"
"2000 - 2006 Interreg IIIC South";"INCENDI";"Région Provence Alpes Côte d'Azur (PACA)";"Yes";"Hôtel de Région, 27 Place Jules Guesde";"13481";"MARSEILLE CEDEX 20";"France";"http://www.interreg3c.net/web/south_fr";"";"";"FR France / FRANCE";"FR8  / MÉDITERRANÉE";"FR82  / Provence-Alpes-Côte d'Azur";"FR824  / Bouches-du-Rhône";"13481, MARSEILLE CEDEX 20, France";"13481";"MARSEILLE CEDEX 20, France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-8,76254;41,89353;"Not found";-8,76254;41,89353;"locality";"approximate";NA;NA;NA;NA;"France, PT";"Portugal";NA;NA;"dsk_ggmap";"marseille cedex 20";"France";"Portugal";"Portugal"
"2000 - 2006 Interreg IIIC South";"La FPTO";"Département de l'Education du Gouvernement de la Catalogne";"Yes";"Via Augusta, 202-220";"8021";"Barcelone";"Spain";"http://www.interreg3c.net/web/south_fr";"";"";"ES Spain / ESPAÑA";"ES5  / ESTE";"ES51  / Cataluña";"ES511  / Barcelona";"8021, Barcelone, Spain";"8021";"Barcelone, Spain";"28868706";"W";"Spain";NA;NA;"8023";"Davao";"Davao";"Philippines";"highway";"residential";125,5557155;7,0502214;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"barcelone";"Spain";"Philippines";"Philippines"
"2000 - 2006 Interreg IIIC South";"NOÉ";"Conseil Régional Provence-Alpes-Côte d'Azur";"Yes";"Direction de la Culture - 27 place Jules Guesde";"13481";"MARSEILLE cedex 20";"France";"http://www.interreg3c.net/web/south_fr";"";"";"FR France / FRANCE";"FR8  / MÉDITERRANÉE";"FR82  / Provence-Alpes-Côte d'Azur";"FR824  / Bouches-du-Rhône";"13481, MARSEILLE cedex 20, France";"13481";"MARSEILLE cedex 20, France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-8,76254;41,89353;"Not found";-8,76254;41,89353;"locality";"approximate";NA;NA;NA;NA;"France, PT";"Portugal";NA;NA;"dsk_ggmap";"marseille cedex 20";"France";"Portugal";"Portugal"
"2000 - 2006 South West Europe";"INDICO";"Diputación Provincial de Huelva";"Yes";"Antiguo Hospital Psiquiátrico 
Pabellón Los Álamos  ";"21006";"HUELVA";"Spain";"";"";"";"ES Spain / ESPAÑA";"ES6  / SUR";"ES61  / Andalucía";"ES615  / Huelva";"21006, HUELVA, Spain";"21006";"HUELVA, Spain";"12816597";"W";"Huelva Road";NA;NA;"71900";"Hot Springs Village";"Arkansas";"United States of America";"highway";"residential";-93,0338896;34,6645016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"huelva";"Spain";"United States of America";"United States of America"
"2000 - 2006 Archimed";"PROHERBS";"Egnatia Epirus Foundation";"Yes";"";"452 21";"Kastro";"Greece";"";"";"";"EL Greece / ΕΛΛΑΔΑ (ELLADA)";"EL3  / ATTIKΗ (ATTIKI)";"EL30  / Aττική (Attiki)";"EL302  / Δυτικός Τομέας Αθηνών (Dytikos Tomeas Athinon)";"452 21, Kastro, Greece";"45221";"Kastro, Greece";"7696950";"W";"County Road 213";NA;NA;"45264";"Snoddy";"Alabama";"United States of America";"highway";"unclassified";-87,845973;32,99568;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"kastro";"Greece";"United States of America";"United States of America"
"2000 - 2006 Western Mediterranean ";"AEM MED";"Ministère de la Marine marchande, SECRETARIAT GENERAL DES PORTS ET DE LA POLITIQUE PORTUAIRE";"Yes";"";"185 45";"Pireas";"Greece";"http://www.gibraltar.gov.gi/eu-funding/interrefg-iiib-medoc";"";"";"EL Greece / ΕΛΛΑΔΑ (ELLADA)";"EL3  / ATTIKΗ (ATTIKI)";"EL30  / Aττική (Attiki)";"EL307  / Πειραιάς, Νήσοι (Peiraias, Nisoi),";"185 45, Pireas, Greece";"18545";"Pireas, Greece";"158713696";"W";"Setor Colônia Agrícola Samambaia - Chacara 45";NA;NA;"71920-180";"Vicente Pires";"Federal District";"Brazil";"highway";"residential";-48,0306767;-15,8199453;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"pireas";"Greece";"Brazil";"Brazil"
"2000 - 2006 Western Mediterranean ";"AMAT";"Région PACA, Service Transports et Communications";"Yes";"Hôtel de Région – 27, place Jules Guesde";"13481";"MARSEILLE CEDEX 20";"France";"http://www.gibraltar.gov.gi/eu-funding/interrefg-iiib-medoc";"";"";"FR France / FRANCE";"FR8  / MÉDITERRANÉE";"FR82  / Provence-Alpes-Côte d'Azur";"FR824  / Bouches-du-Rhône";"13481, MARSEILLE CEDEX 20, France";"13481";"MARSEILLE CEDEX 20, France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-8,76254;41,89353;"Not found";-8,76254;41,89353;"locality";"approximate";NA;NA;NA;NA;"France, PT";"Portugal";NA;NA;"dsk_ggmap";"marseille cedex 20";"France";"Portugal";"Portugal"
"2000 - 2006 Western Mediterranean ";"ARCOMED";"Région PACA, Service Transports et Communications";"Yes";"Hôtel de Région – 27, place Jules Guesde";"13481";"MARSEILLE CEDEX 20";"France";"http://www.gibraltar.gov.gi/eu-funding/interrefg-iiib-medoc";"";"";"FR France / FRANCE";"FR8  / MÉDITERRANÉE";"FR82  / Provence-Alpes-Côte d'Azur";"FR824  / Bouches-du-Rhône";"13481, MARSEILLE CEDEX 20, France";"13481";"MARSEILLE CEDEX 20, France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-8,76254;41,89353;"Not found";-8,76254;41,89353;"locality";"approximate";NA;NA;NA;NA;"France, PT";"Portugal";NA;NA;"dsk_ggmap";"marseille cedex 20";"France";"Portugal";"Portugal"
"2000 - 2006 Western Mediterranean ";"BASSINS VERSANTS MÉDITERRANÉENS";"Région PACA,Direction de l'Environnement, du Développement Durable et de l'Agriculture";"Yes";"27 rue Jules Guesde";"13481";"Marseille cedex 20";"France";"http://www.gibraltar.gov.gi/eu-funding/interrefg-iiib-medoc";"";"";"FR France / FRANCE";"FR8  / MÉDITERRANÉE";"FR82  / Provence-Alpes-Côte d'Azur";"FR824  / Bouches-du-Rhône";"13481, Marseille cedex 20, France";"13481";"Marseille cedex 20, France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-8,76254;41,89353;"Not found";-8,76254;41,89353;"locality";"approximate";NA;NA;NA;NA;"France, PT";"Portugal";NA;NA;"dsk_ggmap";"marseille cedex 20";"France";"Portugal";"Portugal"
"2000 - 2006 Western Mediterranean ";"EMERGENCE 2010";"Région PACA, Direction de l'Environnement, du Développement Durable et de l'Agriculture";"Yes";"27 rue Jules Guesde";"13481";"Marseille cedex 20";"France";"http://www.gibraltar.gov.gi/eu-funding/interrefg-iiib-medoc";"";"";"FR France / FRANCE";"FR8  / MÉDITERRANÉE";"FR82  / Provence-Alpes-Côte d'Azur";"FR824  / Bouches-du-Rhône";"13481, Marseille cedex 20, France";"13481";"Marseille cedex 20, France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-8,76254;41,89353;"Not found";-8,76254;41,89353;"locality";"approximate";NA;NA;NA;NA;"France, PT";"Portugal";NA;NA;"dsk_ggmap";"marseille cedex 20";"France";"Portugal";"Portugal"
"2000 - 2006 Western Mediterranean ";"I2C";"Ayuntamento de Barcelona, Département de Coopération Internationale";"Yes";"Plaça de Sant Jaume 1";"08002";"Barcelone";"Spain";"http://www.gibraltar.gov.gi/eu-funding/interrefg-iiib-medoc";"";"";"ES Spain / ESPAÑA";"ES5  / ESTE";"ES51  / Cataluña";"ES511  / Barcelona";"08002, Barcelone, Spain";"08002";"Barcelone, Spain";"336026261";"W";"Spain Place";NA;NA;"0800";"Darwin";"Northern Territory";"Australia";"highway";"residential";130,8418531;-12,4622698;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"barcelone";"Spain";"Australia";"Australia"
"2000 - 2006 Western Mediterranean ";"MAGHREB";"CONSORCIO PROMOCIÓ COMERCIAL CATALUNYA (COPCA, Secteur de Coopération Internationale";"Yes";"Passeig de Gràcia, 94";"08008";"BARCELONE";"Spain";"http://www.gibraltar.gov.gi/eu-funding/interrefg-iiib-medoc";"";"";"ES Spain / ESPAÑA";"ES5  / ESTE";"ES51  / Cataluña";"ES511  / Barcelona";"08008, BARCELONE, Spain";"08008";"BARCELONE, Spain";"336026261";"W";"Spain Place";NA;NA;"0800";"Darwin";"Northern Territory";"Australia";"highway";"residential";130,8418531;-12,4622698;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"barcelone";"Spain";"Australia";"Australia"
"2000 - 2006 Western Mediterranean ";"Mataari";"Regione EMILIA-ROMAGNA, Direzione Generale Programmazione territoriale e sistemi di mobilità – Servizio viabilità";"Yes";"viale Aldo Moro 30";"40127";"Bologna";"Spain";"http://www.gibraltar.gov.gi/eu-funding/interrefg-iiib-medoc";"";"";"IT Italy / ITALIA";"ITH  / NORD-EST";"ITH5  / Emilia-Romagna";"ITH55  / Bologna";"40127, Bologna, Spain";"40127";"Bologna, Spain";"4448009859";"N";"Bologna Centrale";NA;"Via Iacopo Barozzi";"40126";"Bologna";"Emilia-Romagna";"Italy";"railway";"stop";11,3475865;44,5051733;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"bologna";"Spain";"Italy";"Italy"
"2000 - 2006 Western Mediterranean ";"MEDACTHU";"Région PACA, Direction Générale des Services « Mission Humanitaire International »";"Yes";"27 place Jules Guesde";"13481";"Marseille Cedex 20";"France";"http://www.gibraltar.gov.gi/eu-funding/interrefg-iiib-medoc";"";"";"FR France / FRANCE";"FR8  / MÉDITERRANÉE";"FR82  / Provence-Alpes-Côte d'Azur";"FR824  / Bouches-du-Rhône";"13481, Marseille Cedex 20, France";"13481";"Marseille Cedex 20, France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-8,76254;41,89353;"Not found";-8,76254;41,89353;"locality";"approximate";NA;NA;NA;NA;"France, PT";"Portugal";NA;NA;"dsk_ggmap";"marseille cedex 20";"France";"Portugal";"Portugal"
"2000 - 2006 Western Mediterranean ";"MEDITERRANEAN RIVER BASINS";"Région PACA, Direction de l'Environnement, du Développement Durable et de l'Agriculture";"Yes";"27 rue Jules Guesde";"13481";"Marseille cedex 20";"France";"http://www.gibraltar.gov.gi/eu-funding/interrefg-iiib-medoc";"";"";"FR France / FRANCE";"FR8  / MÉDITERRANÉE";"FR82  / Provence-Alpes-Côte d'Azur";"FR824  / Bouches-du-Rhône";"13481, Marseille cedex 20, France";"13481";"Marseille cedex 20, France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-8,76254;41,89353;"Not found";-8,76254;41,89353;"locality";"approximate";NA;NA;NA;NA;"France, PT";"Portugal";NA;NA;"dsk_ggmap";"marseille cedex 20";"France";"Portugal";"Portugal"
"2000 - 2006 Western Mediterranean ";"OMEDITOUD";"Compagnie de développement de Grevena, Direction des Programmes";"Yes";"3 rue Emm.Pappa et Eirinis";"51 100";"Grevena";"Greece";"http://www.gibraltar.gov.gi/eu-funding/interrefg-iiib-medoc";"";"";"EL Greece / ΕΛΛΑΔΑ (ELLADA)";"EL5  / ΒΟΡΕΙΑ ΕΛΛΑΔΑ (VOREIA ELLADA)";"EL53  / Δυτική Μακεδονία (Dytiki Makedonia)";"EL531  / Γρεβενά, Κοζάνη (Grevena, Kozani),";"51 100, Grevena, Greece";"51100";"Grevena, Greece";"249664367";"W";NA;"51";"Greene Street";"10013";"New York City";"New York";"United States of America";"building";"yes";-74,0019125628079;40,7223356;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"grevena";"Greece";"United States of America";"United States of America"
"2000 - 2006 Western Mediterranean ";"PIC-RM";"Région PACA, Affaires Européennes et de la Coopération Internationale";"Yes";"Hôtel de région – 27, place Jules Guesde";"13481";"MARSEILLE CEDEX 20";"France";"http://www.gibraltar.gov.gi/eu-funding/interrefg-iiib-medoc";"";"";"FR France / FRANCE";"FR8  / MÉDITERRANÉE";"FR82  / Provence-Alpes-Côte d'Azur";"FR824  / Bouches-du-Rhône";"13481, MARSEILLE CEDEX 20, France";"13481";"MARSEILLE CEDEX 20, France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-8,76254;41,89353;"Not found";-8,76254;41,89353;"locality";"approximate";NA;NA;NA;NA;"France, PT";"Portugal";NA;NA;"dsk_ggmap";"marseille cedex 20";"France";"Portugal";"Portugal"
"2000 - 2006 Western Mediterranean ";"ROM";"Association POPsud";"Yes";"38, rue Frédéric Joliot Curie";"13451";"Marseille Cedex 20";"France";"http://www.gibraltar.gov.gi/eu-funding/interrefg-iiib-medoc";"";"";"FR France / FRANCE";"FR8  / MÉDITERRANÉE";"FR82  / Provence-Alpes-Côte d'Azur";"FR824  / Bouches-du-Rhône";"13451, Marseille Cedex 20, France";"13451";"Marseille Cedex 20, France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-8,76254;41,89353;"Not found";-8,76254;41,89353;"locality";"approximate";NA;NA;NA;NA;"France, PT";"Portugal";NA;NA;"dsk_ggmap";"marseille cedex 20";"France";"Portugal";"Portugal"
"2000 - 2006 Western Mediterranean ";"SUBER MED";"Diputación de Huelva, Area de Promociòn Econòmica y Fomento de Empleo";"Yes";"Pabellon Los Pnos, Ctra Nacional Sevilla-Huelva, Km. 630 E";"21006";"Huelva";"Spain";"http://www.gibraltar.gov.gi/eu-funding/interrefg-iiib-medoc";"";"";"ES Spain / ESPAÑA";"ES6  / SUR";"ES61  / Andalucía";"ES615  / Huelva";"21006, Huelva, Spain";"21006";"Huelva, Spain";"12816597";"W";"Huelva Road";NA;NA;"71900";"Hot Springs Village";"Arkansas";"United States of America";"highway";"residential";-93,0338896;34,6645016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"huelva";"Spain";"United States of America";"United States of America"
"2000 - 2006 Lithuania - Poland - Russia (LT-PL-RU)";"Dance Unites Us";"""Czeremosz"" Association";"Yes";"";"11-600";"Wegorzewo";"Poland";"";"";"";"PL Poland / POLSKA";"PL6  / REGION PÓŁNOCNY";"PL62  / Warmińsko-mazurskie";"PL623  / Ełcki";"11-600, Wegorzewo, Poland";"11-600";"Wegorzewo, Poland";"255914813";"W";"Rua 3.600";NA;NA;"1102";"Cidade de Maputo";NA;"Mozambique";"highway";"residential";32,6048792;-25,9398204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"wegorzewo";"Poland";"Mozambique";"Mozambique"
"2000 - 2006 Lithuania - Poland - Russia (LT-PL-RU)";"Exchange of experience in the field of Job market between Poland and Kaliningrad";"Voivodeship Labour Office in Olsztyn";"Yes";"";"10-448";"Olsztyn";"Poland";"";"";"";"PL Poland / POLSKA";"PL6  / REGION PÓŁNOCNY";"PL62  / Warmińsko-mazurskie";"PL622  / Olsztyński";"10-448, Olsztyn, Poland";"10-448";"Olsztyn, Poland";"405740427";"W";"Calle 10";NA;NA;"44440";"Guadalajara";"Jalisco";"Mexico";"highway";"residential";-103,3502262;20,6452652;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"olsztyn";"Poland";"Mexico";"Mexico"
"2000 - 2006 Lithuania - Poland - Russia (LT-PL-RU)";"Let's get to know - protection and cultivating the cultural heritage of Poland and Lithuania";"Folk Culture Museum";"Yes";"";"11-600";"Wegorzewo";"Poland";"";"";"";"PL Poland / POLSKA";"PL6  / REGION PÓŁNOCNY";"PL62  / Warmińsko-mazurskie";"PL623  / Ełcki";"11-600, Wegorzewo, Poland";"11-600";"Wegorzewo, Poland";"255914813";"W";"Rua 3.600";NA;NA;"1102";"Cidade de Maputo";NA;"Mozambique";"highway";"residential";32,6048792;-25,9398204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"wegorzewo";"Poland";"Mozambique";"Mozambique"
"2000 - 2006 Nord (FI-SE-NO-RU)";"Sampro Murmansk";"Municipality of Pajala";"Yes";"";"984 85";"Pajala";"Sweden";"";"";"";"SE Sweden / SVERIGE";"SE3  / NORRA SVERIGE";"SE33  / Övre Norrland";"SE332  / Norrbottens län";"984 85, Pajala, Sweden";"98485";"Pajala, Sweden";"12203684";"W";"85th Street Northwest";NA;NA;"98322";"Swede Hill";"Washington";"United States of America";"highway";"residential";-122,62444;47,334513;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"pajala";"Sweden";"United States of America";"United States of America"
"2000 - 2006 Skärgården (SE-FI)";"Postvägen";"Väddö Folkhögskola (Folk College), Sweden";"Yes";"";"760 40";"Väddö";"Sweden";"";"";"";"SE Sweden / SVERIGE";"SE1  / ÖSTRA SVERIGE";"SE11  / Stockholm";"SE110  / Stockholms län";"760 40, Väddö, Sweden";"76040";"Väddö, Sweden";"5795668662";"N";"Krosvedas";"40";"Vaidoto g.";"76176";"Šiauliai";"Siauliai County";"Lithuania";"shop";"car_repair";23,3265829;55,9555181;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"väddö";"Sweden";"Lithuania";"Lithuania"
"2000 - 2006 Skärgården (SE-FI)";"Skärgårdskultur";"Väddö Folkhögskola (Folk College), Sweden";"Yes";"Grisslehamnsvagen 28";"760 40";"Väddö";"Sweden";"";"";"";"SE Sweden / SVERIGE";"SE1  / ÖSTRA SVERIGE";"SE11  / Stockholm";"SE110  / Stockholms län";"760 40, Väddö, Sweden";"76040";"Väddö, Sweden";"5795668662";"N";"Krosvedas";"40";"Vaidoto g.";"76176";"Šiauliai";"Siauliai County";"Lithuania";"shop";"car_repair";23,3265829;55,9555181;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"väddö";"Sweden";"Lithuania";"Lithuania"
"2000 - 2006 Interact I";"PACINTERREG";"Region of Provence Alpes Côte d'Azur France";"Yes";"";"13 481";"Marseille Cedex 20";"France";"";"";"";"FR France / FRANCE";"FR8  / MÉDITERRANÉE";"FR82  / Provence-Alpes-Côte d'Azur";"FR824  / Bouches-du-Rhône";"13 481, Marseille Cedex 20, France";"13481";"Marseille Cedex 20, France";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-8,76254;41,89353;"Not found";-8,76254;41,89353;"locality";"approximate";NA;NA;NA;NA;"France, PT";"Portugal";NA;NA;"dsk_ggmap";"marseille cedex 20";"France";"Portugal";"Portugal"
"2000 - 2006 Interact I";"FIMIP";"County council of Huelva";"Yes";"";"21006";"Huelva";"Spain";"";"";"";"ES Spain / ESPAÑA";"ES6  / SUR";"ES61  / Andalucía";"ES615  / Huelva";"21006, Huelva, Spain";"21006";"Huelva, Spain";"12816597";"W";"Huelva Road";NA;NA;"71900";"Hot Springs Village";"Arkansas";"United States of America";"highway";"residential";-93,0338896;34,6645016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"OSM_photon";"huelva";"Spain";"United States of America";"United States of America"
